地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,140565.59219470446,178684.68467461446,2,3,[]
地块Block_1,1252.9667818046964,10494.075714738772,0,0,[]
地块Block_2,1967.9815767436567,226577.97754386748,1,7,[]
地块Block_3,2072.888105700278,249939.72384022202,0,23,[]
地块Block_4,1410.9074266086077,11892.074898653942,0,0,[]
地块Block_5,4860.4083521709335,1464502.719805584,36,48,[]
地块Block_6,1862.0024883875485,10459.981128936328,0,0,[]
地块Block_7,2270.454193093108,29059.415530898354,0,1,[]
地块Block_8,1827.2611212549737,13518.63428361235,0,0,[]
地块Block_9,2039.090424905478,172674.17545769943,2,9,[]
地块Block_10,1500.3452904759072,135449.68878224696,1,8,[]
地块Block_11,2446.5632993718054,132167.67580146197,7,19,[]
地块Block_12,2595.483548525577,119616.57200497102,2,9,[]
地块Block_13,814.6390696075399,7367.536545849519,0,0,[]
地块Block_14,2185.0877796004606,147765.62754924974,1,10,[]
地块Block_15,1286.9183813488164,102128.22919331727,0,13,[]
地块Block_16,747.531318712191,5641.8609522667775,0,0,[]
地块Block_17,883.705231239533,6998.272975776622,0,0,[]
地块Block_18,1257.033056181874,12576.554462856053,0,0,[]
地块Block_19,1941.2853694797282,220618.5384527778,1,12,[]
地块Block_20,1268.4373121535173,99658.2359466196,0,4,[]
地块Block_21,1747.203871798487,15920.938776952433,0,0,[]
地块Block_22,2257.877787396188,32938.04559943715,0,1,[]
地块Block_23,3434.4993784430976,171021.04938393994,4,9,[]
地块Block_24,947.5051332919624,12987.463201593104,0,0,[]
地块Block_25,1133.0393480971693,8480.912379569449,0,1,[]
地块Block_26,1177.1991553975884,70292.36980058945,1,4,[]
地块Block_27,1289.4318286007397,102422.79343824762,3,4,[]
地块Block_28,1265.528962303985,15211.629149850822,0,0,[]
地块Block_29,1561.4168547383783,6626.79978386215,0,0,[]
地块Block_30,1391.5228094239565,11549.619040411864,0,0,[]
地块Block_31,1330.820135506143,110166.28369767423,1,7,[]
地块Block_32,714.7979249812669,7015.813641964127,0,0,[]
地块Block_33,1448.9047884365764,105078.12455765472,0,13,[]
地块Block_34,1286.6065900643018,103536.82427509375,0,2,[]
地块Block_35,708.4500833810448,6949.233969664249,0,0,[]
地块Block_36,1320.3601766203415,108537.8690394327,0,26,[]
地块Block_37,1251.6595430720365,96656.71538506635,0,20,[]
地块Block_38,1237.812728798246,94934.36781053594,0,14,[]
地块Block_39,737.8132878953942,20918.455209547974,0,1,[]
地块Block_40,128.23364672298317,956.7545974591136,0,1,[]
地块Block_41,748.4983101906495,7361.073408207023,0,0,[]
地块Block_42,724.706734098486,5061.992962839114,0,0,[]
地块Block_43,749.889894263097,6371.647475640431,0,0,[]
地块Block_44,1454.516817710681,130167.05502020734,0,12,[]
地块Block_45,768.1988670986442,5640.726367587821,0,0,[]
地块Block_46,441.00631731120035,7572.151709525036,1,3,[]
地块Block_47,880.964463718858,7503.315010524001,0,0,[]
地块Block_48,1601.6714319386183,159845.9486273339,2,12,[]
地块Block_49,1435.2923559125293,128590.00259813918,1,23,[]
地块Block_50,1446.2165268860197,130766.43764274531,0,2,[]
地块Block_51,760.588040673602,10905.091979415649,0,0,[]
地块Block_52,1562.2263688536132,147599.288320155,5,12,[]
地块Block_53,116.78682665686526,763.8087830955235,0,0,[]
地块Block_54,1234.4638511511191,17899.616201395762,0,1,[]
地块Block_55,107.63258801644456,643.3822270266893,0,1,[]
地块Block_56,1566.4643274315802,21799.981767049398,0,0,[]
地块Block_57,1509.0057246448546,139234.40018282633,1,29,[]
地块Block_58,1626.666067433011,163048.41068807768,0,3,[]
地块Block_59,887.9945247139918,8694.382358022769,0,0,[]
地块Block_60,2297.6914153152825,317721.2607135976,2,28,[]
地块Block_61,1097.2933094978848,70232.51829160564,0,10,[]
地块Block_62,1253.7723713069436,97172.75666763376,0,11,[]
地块Block_63,1253.7502074570152,95723.38278169514,1,6,[]
地块Block_64,754.7233098112255,6230.615706110453,0,0,[]
地块Block_65,629.410934467642,6133.23774041167,0,0,[]
地块Block_66,1379.8551103204013,115811.70708527789,2,5,[]
地块Block_67,595.6861883005238,5769.309758417696,0,0,[]
地块Block_68,1359.2353577594852,112275.9118928416,0,16,[]
地块Block_69,834.7591363490371,8052.643029386655,0,0,[]
地块Block_70,298.37280709495644,5249.613095052453,0,1,[]
地块Block_71,347.8617812772478,5724.725939715485,0,0,[]
地块Block_72,1060.4229189973646,64135.31349554851,1,6,[]
地块Block_73,688.5605836240859,4152.49347036488,0,0,[]
地块Block_74,571.2002384846979,1932.5212920061565,0,0,[]
地块Block_75,225.98231178532586,1172.9376154196966,0,0,[]
地块Block_76,1298.6767190576631,9664.963579432431,0,0,[]
地块Block_77,1292.4608501505488,10373.754558682163,0,0,[]
地块Block_78,191.39362815262314,1046.9609828313583,0,0,[]
地块Block_79,150.7765438599109,991.8313653596011,0,0,[]
地块Block_80,1288.9212835988428,97961.04612344313,0,6,[]
地块Block_81,798.367259302628,6803.793298965832,0,0,[]
地块Block_82,1057.3528014801345,8041.512888884876,0,1,[]
地块Block_83,1073.8905804739195,7572.413878642859,0,0,[]
地块Block_84,753.1002394047033,6557.264947107977,0,0,[]
地块Block_85,1323.813670258696,108332.2367297468,1,12,[]
地块Block_86,1331.8978108199387,110218.20188162975,1,14,[]
地块Block_87,652.6839684130787,6431.641969080661,0,0,[]
地块Block_88,1300.9682336882884,106060.29119982754,2,10,[]
地块Block_89,1424.5723202827746,15684.717658363554,0,0,[]
地块Block_90,1023.7216717847479,8155.8988829544305,0,0,[]
地块Block_91,1590.4210805441671,146463.66492182965,1,13,[]
地块Block_92,601.3009453916779,4433.316149801666,0,0,[]
地块Block_93,1357.5208773824575,113687.79004346389,2,14,[]
地块Block_94,793.7788449343689,5069.6141935912365,0,0,[]
地块Block_95,758.272941525305,4795.625131061246,0,0,[]
地块Block_96,539.9385364618688,15210.176178209345,0,0,[]
地块Block_97,266.56918479288146,2235.3103065127443,0,0,[]
地块Block_98,289.92763227538325,2117.555934795735,0,0,[]
地块Block_99,954.6640780880382,53145.38615147087,0,3,[]
