地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,75355.28323904859,94924.24585697684,3,3,[]
地块Block_1,782.137982463365,31687.4854603554,0,2,[]
地块Block_2,480.17108718963294,1516.6890990830877,0,0,[]
地块Block_3,1100.5114165515536,10726.945449744942,0,0,[]
地块Block_4,532.5932172511939,2050.592824151834,0,0,[]
地块Block_5,1700.5711902129574,139171.12955457336,0,2,[]
地块Block_6,267.0636515646622,3221.5986136775364,0,0,[]
地块Block_7,408.5057676719879,10429.152284158365,0,1,[]
地块Block_8,380.45638334290703,6762.433858350546,0,0,[]
地块Block_9,1920.3337602620932,201287.65862126823,1,1,[]
地块Block_10,772.9807133156141,7310.033576634987,0,0,[]
地块Block_11,2107.581952751232,47112.942532959234,0,0,[]
地块Block_12,978.7315821596956,16953.77148202066,0,0,[]
地块Block_13,123.79786987832347,948.1839494655817,0,0,[]
地块Block_14,1262.049594472072,7906.657195149868,1,1,[]
地块Block_15,792.9530922108954,4792.43067656546,0,0,[]
地块Block_16,437.2391413525478,3006.1357894180237,0,0,[]
地块Block_17,127.29084920806773,661.7993594049785,0,0,[]
地块Block_18,839.4811823474208,4870.200255081626,0,0,[]
地块Block_19,1574.017921354778,26057.527984959226,0,0,[]
地块Block_20,1349.498424144234,103577.8341011773,1,3,[]
地块Block_21,2375.1394853361535,19636.218678580713,0,1,[]
地块Block_22,118.92753616318666,748.3865543416907,0,0,[]
地块Block_23,1506.846470505848,13290.074485506428,0,1,[]
地块Block_24,1067.3432698746024,8156.130245880056,0,0,[]
地块Block_25,628.1341767080245,20444.216059481,0,10,[]
地块Block_26,688.9891335236215,30063.185438314424,0,18,[]
地块Block_27,1188.3452931094293,64224.61557476249,0,19,[]
地块Block_28,1707.6377290704186,27798.48305593594,0,0,[]
地块Block_29,640.0195433214702,2655.867592581238,0,0,[]
地块Block_30,726.4715776755471,2823.826811441074,0,0,[]
地块Block_31,178.53614987217287,1792.6638938078659,0,0,[]
地块Block_32,368.40682257513924,7386.792971955502,0,1,[]
地块Block_33,385.05984799891746,9061.467660520648,0,4,[]
地块Block_34,666.4388337808407,833.4614183656464,0,0,[]
