地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,195094.39510655403,247361.6954137812,5,7,[]
地块Block_1,1454.5168177074584,130167.10689411731,0,12,[]
地块Block_2,749.889894263097,6371.6474756404305,0,0,[]
地块Block_3,4860.4083521639195,1464502.719805333,36,48,[]
地块Block_4,1257.033056181874,12576.554462856055,0,0,[]
地块Block_5,1941.2853694797277,220618.53845278418,1,12,[]
地块Block_6,1747.2038717984874,15920.93877695244,0,0,[]
地块Block_7,2257.877787396164,32938.04559943718,0,1,[]
地块Block_8,1601.6714319599587,159846.2061698502,2,12,[]
地块Block_9,2185.087772731794,147765.22618903045,1,10,[]
地块Block_10,1435.292355912529,128590.00259813918,1,23,[]
地块Block_11,1293.9939506238156,102619.06554292492,1,2,[]
地块Block_12,769.2841273538422,8010.610123717004,0,0,[]
地块Block_13,108.01997259448098,725.7771529927383,0,0,[]
地块Block_14,1391.5228094240313,11549.61904041187,0,0,[]
地块Block_15,1320.360176623014,108537.8690396977,0,26,[]
地块Block_16,1237.8127288274643,94934.00746609067,0,14,[]
地块Block_17,2510.4088553337388,372676.17918606265,3,17,[]
地块Block_18,708.4500833810447,6949.23396966425,0,0,[]
地块Block_19,1265.528962303985,15211.629149850824,0,0,[]
地块Block_20,5331.8051963792,710191.415169644,4,11,[]
地块Block_21,1306.5992967924662,37463.44562967731,3,5,[]
地块Block_22,1133.039348097169,8480.912379569449,0,1,[]
地块Block_23,3063.8139798051034,50514.484560549594,0,1,[]
地块Block_24,1335.6325806799487,10842.666791142949,0,0,[]
地块Block_25,1177.1991553975886,70292.36980058945,1,4,[]
地块Block_26,1226.1506050703392,75170.30738840785,0,2,[]
地块Block_27,1682.7533521628793,173909.59636637548,1,10,[]
地块Block_28,1498.3483452548235,137917.53582123655,0,10,[]
地块Block_29,1813.5114036033283,18028.69858199096,0,0,[]
地块Block_30,421.14680352981424,4905.812615967032,1,1,[]
地块Block_31,957.8891806975554,26931.42761487943,1,1,[]
地块Block_32,1292.994552006573,10252.921933142878,0,0,[]
地块Block_33,912.8691855053454,6577.541041506216,0,0,[]
地块Block_34,1327.9256163305345,11407.226971072407,0,0,[]
地块Block_35,735.6879800730708,11593.43244763849,0,0,[]
地块Block_36,511.79433507607814,3263.0536313202174,0,0,[]
地块Block_37,135.3054289311366,880.5223160445247,0,0,[]
地块Block_38,414.2113205521105,3146.6824906184265,0,0,[]
地块Block_39,844.2811883501827,7108.57623776417,0,0,[]
地块Block_40,1200.5882511016564,88974.80335174083,0,0,[]
地块Block_41,882.0100792905689,10730.13844829855,0,0,[]
地块Block_42,795.3717911765945,36026.78274669756,0,0,[]
地块Block_43,376.7264305021687,7729.411634683712,0,4,[]
地块Block_44,276.0565991471107,4558.589376435401,0,1,[]
地块Block_45,820.4621527002389,8046.943177565467,0,0,[]
地块Block_46,1251.6595430735306,96656.71538489644,0,20,[]
地块Block_47,748.4983101906496,7361.073408207021,0,0,[]
地块Block_48,1448.9047884309637,105078.03529569559,0,13,[]
地块Block_49,1289.4318286007397,102422.7934382476,3,4,[]
地块Block_50,128.23364672298317,956.7545974591135,0,1,[]
地块Block_51,1330.8201355061433,110166.28369767423,1,7,[]
地块Block_52,1286.606590064302,103536.82427509375,0,2,[]
地块Block_53,714.7979249820758,7015.813641953982,0,0,[]
地块Block_54,947.5051332919521,12987.463079499548,0,0,[]
地块Block_55,3434.4993784430962,171021.04938426957,4,9,[]
地块Block_56,1446.2165268854721,130766.43764274528,0,2,[]
地块Block_57,760.5880406736105,10905.092080822073,0,0,[]
地块Block_58,1782.9157441707112,133072.3774702039,0,7,[]
地块Block_59,1338.5008278546084,108229.4937732282,3,3,[]
地块Block_60,1413.7986536664816,119766.26345317683,0,13,[]
地块Block_61,887.9662600817361,8154.104610483626,0,0,[]
地块Block_62,737.8132878953942,20918.455209547974,0,1,[]
地块Block_63,1268.437312153582,99658.23594661966,0,4,[]
地块Block_64,1562.2263688536132,147599.28832015497,5,12,[]
地块Block_65,597.1205414415718,7118.592101563937,0,0,[]
地块Block_66,841.3393067385452,9964.2679059601,0,0,[]
地块Block_67,883.7052312395331,6998.272975776623,0,0,[]
地块Block_68,1561.4168547383786,6626.79978386215,0,0,[]
地块Block_69,1252.9667818046703,10494.07571472733,0,0,[]
地块Block_70,1967.981576729714,226577.97754358102,1,7,[]
地块Block_71,2072.8881057006074,249939.72384030765,0,23,[]
地块Block_72,1566.46432742999,21799.9817747771,0,0,[]
地块Block_73,887.9945247130458,8694.382465723425,0,0,[]
地块Block_74,2039.0904249050564,172674.175457375,2,9,[]
地块Block_75,2297.69141531135,317721.26071315794,2,28,[]
地块Block_76,1097.2933095010014,70232.51829190101,0,10,[]
地块Block_77,1253.750207453106,95723.38278123536,1,6,[]
地块Block_78,595.6861883005238,5769.309758417695,0,0,[]
地块Block_79,834.7591363490371,8052.643029386655,0,0,[]
地块Block_80,1379.8551103204013,115811.70708527789,2,5,[]
地块Block_81,1862.002488387548,10459.981128936326,0,0,[]
地块Block_82,2270.454193093108,29059.41553089835,0,1,[]
地块Block_83,1827.2611212549737,13518.63428361235,0,0,[]
地块Block_84,1500.345290470797,135449.68878223308,1,8,[]
地块Block_85,2446.5632993718573,132167.67580159102,7,19,[]
地块Block_86,688.5605836240856,4152.493463298756,0,0,[]
地块Block_87,1060.4229189973648,64135.313495548515,1,6,[]
地块Block_88,571.2002384846979,1932.5212920061567,0,0,[]
地块Block_89,2595.483548520525,119616.56957237198,2,9,[]
地块Block_90,814.6390696075399,7367.536545849518,0,0,[]
地块Block_91,1359.2353577588456,112275.91189284288,0,16,[]
地块Block_92,747.5313187121903,5641.860970843616,0,0,[]
地块Block_93,1301.4595279260525,104219.74057058516,0,4,[]
地块Block_94,1167.694933303955,14832.323295526543,0,0,[]
地块Block_95,880.9644637188985,7503.315010524016,0,0,[]
地块Block_96,116.78682665686526,763.8087830955235,0,0,[]
地块Block_97,441.0063173112003,7572.151709525038,1,3,[]
地块Block_98,1286.9183745222617,102128.22834926001,0,13,[]
地块Block_99,225.98231178532572,1172.937619146752,0,0,[]
地块Block_100,768.1988670986442,5640.72636758782,0,0,[]
地块Block_101,1410.9074266086075,11892.074898653944,0,0,[]
地块Block_102,724.7067340984859,5061.992962839113,0,0,[]
地块Block_103,347.86178127683525,5724.726066932562,0,0,[]
地块Block_104,298.3728070949564,5249.613095052453,0,1,[]
地块Block_105,1073.8905804739195,7572.413878642859,0,0,[]
地块Block_106,1234.463851151119,17899.616201395766,0,1,[]
地块Block_107,1057.3528014801343,8041.512888884876,0,1,[]
地块Block_108,1288.9212835988435,97961.04612344319,0,6,[]
地块Block_109,798.3672593026278,6803.793298965833,0,0,[]
地块Block_110,1509.0057246484544,139234.40018270907,1,29,[]
地块Block_111,1424.5723262172203,15684.717630940342,0,0,[]
地块Block_112,1292.4608501505484,10373.754558682163,0,0,[]
地块Block_113,1626.6660674330114,163048.41068842268,0,3,[]
地块Block_114,1298.676719057663,9664.963579432428,0,0,[]
地块Block_115,191.3936281544072,1046.960982833383,0,0,[]
地块Block_116,150.7765438599109,991.8313653596011,0,0,[]
地块Block_117,107.63258801733956,643.3822270444614,0,1,[]
地块Block_118,1253.7723712902116,97172.75666755754,0,11,[]
地块Block_119,753.1002394047036,6557.264944826469,0,0,[]
地块Block_120,1300.9682336882881,106060.29119982755,2,10,[]
地块Block_121,652.6839684130787,6431.641969080661,0,0,[]
地块Block_122,629.4109344682561,6133.237670168079,0,0,[]
地块Block_123,754.7233098112256,6230.615706110452,0,0,[]
地块Block_124,266.56918479288146,2235.3103065127443,0,0,[]
地块Block_125,289.92763227538325,2117.555934795735,0,0,[]
地块Block_126,539.9385364618688,15210.176178209342,0,0,[]
地块Block_127,954.6640780697072,53145.177534445706,0,3,[]
地块Block_128,1590.4210805441671,146463.66492182962,1,13,[]
地块Block_129,1331.897810819939,110218.20188162973,1,14,[]
地块Block_130,758.2729415245287,4795.625131071238,0,0,[]
地块Block_131,1323.8136702586962,108332.23672974682,1,12,[]
地块Block_132,1357.5208773867964,113687.67528282673,2,14,[]
