地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,95313.0775638481,163984.01809262903,5,5,[]
地块Block_1,1369.3843172625307,107193.86795715985,0,0,[]
地块Block_2,435.9462780152508,2168.92505929829,0,0,[]
地块Block_3,2509.1174898852432,173508.78666598548,1,1,[]
地块Block_4,2279.1967140099796,24412.15219952622,0,0,[]
地块Block_5,918.8483073195833,26927.618025750086,0,0,[]
地块Block_6,671.3525184455921,4765.685755319363,0,0,[]
地块Block_7,685.169971912184,5924.219162445874,0,0,[]
地块Block_8,759.5545424125564,4571.409245417424,0,1,[]
地块Block_9,1443.3384357663535,126046.34536976251,1,6,[]
地块Block_10,679.7035941403834,7702.872698521839,0,1,[]
地块Block_11,1421.6339096710103,125240.21099499035,0,2,[]
地块Block_12,1005.5488601847785,62547.599528354636,2,6,[]
地块Block_13,882.6242273757828,48381.032394895476,0,3,[]
地块Block_14,1887.876447164521,114484.18192986435,0,6,[]
地块Block_15,829.5466315290282,3944.3183248783625,0,0,[]
地块Block_16,1212.2870535736752,6896.611325351732,0,0,[]
地块Block_17,843.8725328936614,44294.390222064714,1,4,[]
地块Block_18,583.1802929678772,3235.3239789516765,0,0,[]
地块Block_19,962.9102860867338,56675.083897871846,1,3,[]
地块Block_20,456.40702944463624,2674.18267306897,0,0,[]
地块Block_21,854.0291239078639,45423.44213268436,0,2,[]
地块Block_22,474.31372230616427,2963.517488553242,0,0,[]
地块Block_23,871.2570262902058,47298.76172128835,0,1,[]
地块Block_24,826.5968818770477,7102.8237776971055,0,2,[]
地块Block_25,1671.0374139580374,17658.39199824294,0,0,[]
地块Block_26,1109.9899004037718,76178.23986961265,0,5,[]
地块Block_27,1476.1668054266886,128309.24064257935,3,4,[]
地块Block_28,557.2446241919574,5425.487081402829,0,0,[]
地块Block_29,1387.4726104327947,7301.878806133129,0,0,[]
地块Block_30,1613.8678718542303,11692.869243446832,0,0,[]
地块Block_31,1348.2034107647362,6861.465681753942,0,0,[]
地块Block_32,1892.06776433713,97189.95801931582,1,1,[]
地块Block_33,1070.1635675451896,71951.2862858559,1,8,[]
地块Block_34,361.97724628661354,4019.9296946075865,1,1,[]
地块Block_35,282.6232458230792,2317.4846141440676,1,1,[]
地块Block_36,271.40254505622147,1502.8490628142122,1,1,[]
地块Block_37,293.20757391038563,2785.197890022674,1,1,[]
地块Block_38,219.2581267038684,1115.7340966365393,0,0,[]
地块Block_39,493.9978970769902,2639.4740156126463,0,0,[]
地块Block_40,1902.1441934628665,226627.58205600263,0,0,[]
地块Block_41,1038.9489451685606,6286.481261564141,0,0,[]
地块Block_42,1979.935373151385,144606.59582532226,2,30,[]
地块Block_43,1226.7847731525546,39620.640846627095,0,6,[]
地块Block_44,2005.7054506091392,20192.832423658343,0,0,[]
地块Block_45,4324.74503390311,462162.90648493933,0,1,[]
地块Block_46,724.8385226873819,3689.3177913032573,0,0,[]
地块Block_47,801.0992934798517,39119.70744439629,0,0,[]
地块Block_48,1085.1644415729234,10215.495615509239,0,0,[]
地块Block_49,687.6067148801932,4484.230038789847,0,0,[]
地块Block_50,640.416851416178,17603.951016073574,0,2,[]
地块Block_51,127.9313530485761,1118.1955780368078,0,0,[]
地块Block_52,265.34243018001007,3375.789552204412,0,0,[]
地块Block_53,1272.1653411357365,99360.54513361679,0,0,[]
地块Block_54,1033.7093963071295,46639.0988607552,1,1,[]
地块Block_55,586.6615871840104,6971.984531130065,0,0,[]
地块Block_56,406.0360311374397,5090.340355838578,1,1,[]
地块Block_57,797.5817190138123,5215.003999566454,0,0,[]
地块Block_58,123.79786987832347,948.1839494655817,0,0,[]
地块Block_59,772.9807133156096,7310.033628170886,0,0,[]
地块Block_60,115.69911673766002,1055.4096474251949,0,0,[]
