地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,130304.8505464699,164731.0419117127,15,15,[]
地块Block_1,1998.7801663382677,236249.8878517032,8,29,[]
地块Block_2,1226.0796102496513,6208.715286537296,0,0,[]
地块Block_3,1318.7278289504113,99865.82602800756,3,44,[]
地块Block_4,1023.4308709336763,65880.5938807781,0,35,[]
地块Block_5,854.3015228083793,45397.941589404,0,8,[]
地块Block_6,919.6087003756762,40029.64597861359,2,18,[]
地块Block_7,1381.1619899480334,82594.17947178059,13,48,[]
地块Block_8,838.8306496731419,44493.197483499665,2,5,[]
地块Block_9,1468.334147717947,116994.4087619419,4,44,[]
地块Block_10,2003.8868208940294,241467.1826279334,3,59,[]
地块Block_11,1061.319217296431,66787.70163084884,1,12,[]
地块Block_12,1554.0847813835246,147606.01214677838,4,49,[]
地块Block_13,921.6694975776433,3952.4493644981962,0,2,[]
地块Block_14,1885.9500344838732,218276.80226708404,50,68,[]
地块Block_15,761.8410844575806,35792.80639253745,2,6,[]
地块Block_16,935.0499232461606,55364.65057234312,4,17,[]
地块Block_17,595.4031439174195,21828.947371472594,2,4,[]
地块Block_18,617.8095129724157,23804.37863696029,0,6,[]
地块Block_19,1044.4349820908526,63093.7595424669,0,28,[]
地块Block_20,884.2684417972205,43755.709905151176,3,14,[]
地块Block_21,1321.257596476871,88527.33980521307,4,24,[]
地块Block_22,1113.3145480914195,75736.45527211975,3,16,[]
地块Block_23,1795.6978046954266,183470.08067474634,4,58,[]
地块Block_24,991.2936682769922,46225.94933934634,0,2,[]
地块Block_25,2321.093933149401,289153.32756750763,6,90,[]
地块Block_26,269.389182381703,1048.5377241275526,0,0,[]
地块Block_27,2025.2114663528255,156717.96266003934,18,34,[]
地块Block_28,2309.947782244895,127752.68583443893,2,31,[]
地块Block_29,2618.228980856492,189133.36522807402,2,25,[]
地块Block_30,1031.4374779976506,51358.80953081836,2,7,[]
地块Block_31,1033.8870769881867,50072.65578317456,2,19,[]
地块Block_32,1348.0046581502706,108616.51079601437,5,15,[]
地块Block_33,1763.0349474301584,147062.3895318276,3,37,[]
地块Block_34,637.5100713428501,21940.4127630727,0,0,[]
地块Block_35,392.4030259735979,1176.2473414973015,0,0,[]
地块Block_36,593.2303961279504,21732.634105926016,2,11,[]
地块Block_37,448.5942580307581,12427.795889914327,0,5,[]
地块Block_38,427.1928940864042,11249.305290288874,1,6,[]
地块Block_39,541.2956232633414,2213.64023432718,0,0,[]
地块Block_40,775.991850791767,32963.00006792849,2,10,[]
