地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,124683.54740656128,157362.5215891299,10,10,[]
地块Block_1,1114.0083432184852,74495.8970454476,7,14,[]
地块Block_2,269.38918238170294,1048.5377241275517,0,0,[]
地块Block_3,2025.2114663528262,156717.96266003928,18,34,[]
地块Block_4,2309.9477826488956,127752.68647016196,2,31,[]
地块Block_5,637.5100713456367,21940.412763205713,0,0,[]
地块Block_6,2618.2289808565492,189133.3652281508,2,25,[]
地块Block_7,361.7910352616353,3215.4781140091172,0,1,[]
地块Block_8,479.6321077836379,13087.67545234702,1,7,[]
地块Block_9,884.2684417917164,43755.70990484264,3,14,[]
地块Block_10,1113.3145480914195,75736.45527211977,3,16,[]
地块Block_11,3123.281206221049,333377.4363175061,6,46,[]
地块Block_12,2321.0939331492073,289153.3238847098,6,90,[]
地块Block_13,899.692605409384,49155.929971276375,4,4,[]
地块Block_14,1204.2001624288475,86468.03756113845,2,13,[]
地块Block_15,1573.7241835195616,138134.05939819288,4,32,[]
地块Block_16,1031.4374779975858,51358.809530970146,2,7,[]
地块Block_17,1348.0046581502363,108616.51079601437,5,15,[]
地块Block_18,1256.7725718924412,97219.57586124177,0,7,[]
地块Block_19,3382.5084839347774,539619.7975660176,15,122,[]
地块Block_20,1139.1758604215559,40274.06928966701,1,9,[]
地块Block_21,366.11187586594133,7940.925678293761,0,0,[]
地块Block_22,1140.0153998900073,69045.91078873113,2,3,[]
地块Block_23,2103.464849156583,237925.560913755,22,60,[]
地块Block_24,3031.836980118424,374180.68687219685,2,26,[]
地块Block_25,1252.5247730182946,14465.81800396419,0,0,[]
地块Block_26,1841.667486763333,178353.67022359764,2,25,[]
地块Block_27,1490.402739578208,103455.36185818445,2,30,[]
地块Block_28,557.232429452016,11526.82396265124,1,3,[]
地块Block_29,443.8340373590906,12717.746131086415,0,4,[]
地块Block_30,1540.6026634227248,50171.99041951468,0,0,[]
地块Block_31,973.2151123868226,7228.271772615514,0,0,[]
地块Block_32,1174.9240217153122,66248.52410772683,0,0,[]
地块Block_33,491.5593676917849,14647.022141995403,0,0,[]
地块Block_34,506.83467342808876,12717.623854426307,0,0,[]
地块Block_35,268.992210384843,3479.302238696413,0,0,[]
地块Block_36,1883.97097786508,138246.6555140503,4,31,[]
地块Block_37,1763.0349474307711,147062.38935988303,3,37,[]
地块Block_38,1033.8870769880882,50072.655783174465,2,19,[]
地块Block_39,448.59425803075806,12427.795889914327,0,5,[]
地块Block_40,427.1928940854061,11249.305290241755,1,6,[]
地块Block_41,593.2303961279143,21732.63152761694,2,11,[]
地块Block_42,392.40302597359795,1176.2473414973015,0,0,[]
地块Block_43,921.6694975776433,3952.4493644981962,0,2,[]
地块Block_44,1885.95003448387,218276.80226708954,50,68,[]
地块Block_45,730.3213986383687,31391.509799069074,1,8,[]
地块Block_46,939.1903097548076,54787.56233406319,0,20,[]
地块Block_47,1088.6034300920319,69400.60494630111,3,33,[]
地块Block_48,1408.939052003539,116115.7308503341,0,35,[]
地块Block_49,1795.6978046954264,183470.0806747463,4,58,[]
地块Block_50,991.2936682770073,46225.94933934631,0,2,[]
地块Block_51,1972.6515102234105,192538.1748372889,3,51,[]
地块Block_52,713.5421817379449,31290.9632787717,2,8,[]
地块Block_53,775.991852146541,32963.00028970206,2,10,[]
地块Block_54,507.02101905260014,15856.200356660984,3,9,[]
地块Block_55,351.18705815428234,1900.4845039694455,0,0,[]
地块Block_56,718.5192004023723,16669.38541010602,4,5,[]
地块Block_57,541.2956232633414,2213.6402343271793,0,0,[]
地块Block_58,96.24803552526733,690.1676171946705,1,3,[]
地块Block_59,1028.7289323338712,4721.775451189938,0,1,[]
地块Block_60,354.9331319410764,1001.4717886724616,0,0,[]
地块Block_61,1044.4349820908956,63093.75954246691,0,28,[]
地块Block_62,1321.2575964766932,88527.33980519285,4,24,[]
地块Block_63,1476.0799656507327,68419.25931005574,2,22,[]
地块Block_64,614.0238560573259,21607.58022198782,1,4,[]
地块Block_65,935.0499232461603,55364.65057234312,4,17,[]
地块Block_66,595.4031439174196,21828.947371472594,2,4,[]
地块Block_67,617.8095129724157,23804.37863696029,0,6,[]
地块Block_68,761.8410844575803,35792.806392537444,2,6,[]
地块Block_69,990.8907249436421,53848.575909115956,4,10,[]
地块Block_70,980.5997386651122,46078.079786327886,0,13,[]
地块Block_71,646.9845607560432,22191.193259927837,1,7,[]
地块Block_72,854.3015228110434,45397.94158955956,0,8,[]
地块Block_73,919.6087003757503,40029.64597869023,2,18,[]
地块Block_74,838.8306496731419,44493.19748349969,2,5,[]
地块Block_75,1468.334147717944,116994.41046430133,4,44,[]
地块Block_76,2003.8868208940537,241467.182627874,3,59,[]
地块Block_77,1462.58592512287,128773.15142611206,1,38,[]
地块Block_78,685.5843718753289,27798.692281454645,3,9,[]
地块Block_79,1045.6893602718055,70380.01203955295,1,13,[]
地块Block_80,389.91540251854457,8990.272117785978,0,8,[]
地块Block_81,659.942729695642,23018.467591180655,3,5,[]
地块Block_82,1091.2052736966918,65887.26843767121,2,33,[]
地块Block_83,1140.185354836829,80600.6896113969,1,34,[]
地块Block_84,1554.0847929624958,147606.01225245476,4,49,[]
地块Block_85,1061.319217296431,66787.70163084884,1,12,[]
地块Block_86,861.8981525068198,41407.81169868836,1,17,[]
地块Block_87,702.0871266913852,18867.00666861833,0,7,[]
地块Block_88,569.3804887684336,20211.76860149535,1,1,[]
地块Block_89,650.0124240173299,25672.82944895793,1,2,[]
地块Block_90,367.668704439457,7717.670290806841,1,1,[]
