地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,71775.14807901463,91982.79951482003,1,1,[]
地块Block_1,885.1151094344402,4189.258542681882,0,0,[]
地块Block_2,1972.5619501298831,177560.14864603776,2,4,[]
地块Block_3,961.9473315848214,4123.733321469537,0,0,[]
地块Block_4,1546.4843504777339,141366.61321206487,5,5,[]
地块Block_5,922.7865378199336,2796.9647344405857,0,0,[]
地块Block_6,477.7299528615328,4641.341447663395,0,0,[]
地块Block_7,533.4362160523772,5340.030813369067,0,0,[]
地块Block_8,1051.6844485820684,11225.707038856937,0,0,[]
地块Block_9,1443.1119008577084,105395.50752227442,3,6,[]
地块Block_10,460.13597166221683,1744.1351700305838,0,0,[]
地块Block_11,2536.666104725312,265944.84629704984,3,6,[]
地块Block_12,2044.3730207110189,18314.1555684985,0,1,[]
地块Block_13,2407.458776222974,260757.55262850586,8,10,[]
地块Block_14,841.180077818965,2133.860741451879,0,0,[]
地块Block_15,945.5410039765367,2415.1146510411454,0,0,[]
地块Block_16,971.0512360861844,3909.913414228621,0,0,[]
地块Block_17,1965.216769122603,242072.34368386885,0,0,[]
地块Block_18,1587.6487362129085,149754.42518182323,3,4,[]
地块Block_19,1915.4900198688183,229417.63405387785,0,74,[]
地块Block_20,1796.574125318739,200069.93463891832,2,11,[]
地块Block_21,790.1679152094656,3029.303338191811,0,0,[]
地块Block_22,787.8179353825354,2674.025199616356,0,0,[]
地块Block_23,788.713102506062,4026.5460261489243,0,0,[]
地块Block_24,1852.774584268346,201454.35828656572,1,1,[]
地块Block_25,717.7501235663882,2748.5010389167896,0,0,[]
地块Block_26,1311.011367533322,96003.49045679608,3,3,[]
地块Block_27,1393.073436355094,113162.30255172218,6,12,[]
地块Block_28,1119.852419449962,35883.32687179246,0,0,[]
地块Block_29,731.3542728243024,6719.499981480862,0,0,[]
地块Block_30,166.69886257311313,1656.8977214376307,0,0,[]
地块Block_31,647.7310852790027,5964.828113342739,0,0,[]
地块Block_32,637.8846412171702,5249.373055728784,0,0,[]
地块Block_33,158.59285823161335,1506.828795337208,0,0,[]
地块Block_34,161.680534578119,1620.090118549196,0,0,[]
地块Block_35,367.8465806565952,7887.623629412579,0,0,[]
地块Block_36,1253.966708582196,7068.292487492493,0,0,[]
地块Block_37,242.78971761708925,1650.0870861813148,0,1,[]
地块Block_38,163.41976101635248,1604.9450736333754,0,0,[]
地块Block_39,585.9376037887201,4271.464508119988,0,0,[]
地块Block_40,534.7566144269867,4206.539091625641,0,0,[]
