地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,45610.82821020916,58186.07876227195,2,2,[]
地块Block_1,2334.7284301507993,254796.41038256028,1,1,[]
地块Block_2,2494.5379666094063,22847.001327464346,0,0,[]
地块Block_3,6252.440126738166,1211262.2960407275,2,2,[]
地块Block_4,3981.941895610958,770115.9567717587,1,1,[]
地块Block_5,2533.950881080903,352891.2075395155,1,1,[]
地块Block_6,1945.4602279097146,155263.90700345527,1,1,[]
地块Block_7,977.1911066887892,8146.458955881854,0,0,[]
地块Block_8,1175.9380806182828,10131.375044418659,0,0,[]
地块Block_9,1021.8911840843157,5163.904281696637,0,0,[]
地块Block_10,595.8332182869518,20544.610364564913,1,1,[]
地块Block_11,768.55945319904,6194.504090226266,0,0,[]
地块Block_12,1311.8935430341241,11200.838610919343,0,0,[]
地块Block_13,773.5598025993331,36250.090527798486,1,1,[]
地块Block_14,851.9268546880126,35610.83266179652,0,0,[]
地块Block_15,1215.562037286459,83162.33435225005,0,0,[]
地块Block_16,790.8401093209716,31430.727799817905,0,0,[]
