地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,84044.36462216578,107574.40217101677,2,2,[]
地块Block_1,1039.8677305075705,67118.30346067518,0,0,[]
地块Block_2,1228.8321573301523,64412.98500636767,1,1,[]
地块Block_3,992.4742971261794,12087.91478386855,0,0,[]
地块Block_4,762.3168924472258,6616.177254146912,0,0,[]
地块Block_5,2857.637926768812,234430.2036519621,1,1,[]
地块Block_6,3123.122214666427,371827.74003302434,2,4,[]
地块Block_7,2275.7789234610264,18157.409080374553,0,1,[]
地块Block_8,6670.465999474615,1095446.8847208668,21,24,[]
地块Block_9,2484.490701800428,8341.584246112818,0,0,[]
地块Block_10,1236.8137447659706,57610.35995202454,1,1,[]
地块Block_11,2052.700350269439,26002.068503987746,0,0,[]
地块Block_12,2786.0346465186813,384923.64157428907,1,1,[]
地块Block_13,516.8752418574484,2617.965812006702,0,0,[]
地块Block_14,1841.0671670970187,157305.19268638597,2,3,[]
地块Block_15,236.18099132073925,811.8923988094677,0,0,[]
地块Block_16,1078.1587703202138,5163.703534201766,0,0,[]
地块Block_17,2109.4309516968674,11619.82735484864,0,0,[]
地块Block_18,3120.679224088657,20537.731420709206,0,1,[]
地块Block_19,2949.855053691294,383587.5872674306,5,8,[]
地块Block_20,842.344724241952,9612.961745697745,0,0,[]
地块Block_21,276.7066457826671,1169.6422231608312,0,0,[]
地块Block_22,997.3187792387978,61888.179192921125,0,0,[]
地块Block_23,969.5276680388874,58554.438368187024,0,0,[]
地块Block_24,1164.0272475761112,59968.46641868742,1,1,[]
地块Block_25,951.4213442125829,13141.39318917368,0,0,[]
地块Block_26,547.1035090382659,2737.3815212392155,0,0,[]
地块Block_27,251.0259908106366,1165.4151127995801,0,0,[]
地块Block_28,569.5354912939816,2851.268589246538,0,0,[]
地块Block_29,530.9568650194855,2533.0412216253508,0,0,[]
地块Block_30,1059.1349930613317,72059.7042380294,0,0,[]
地块Block_31,1001.1798685957365,62244.79402882038,0,0,[]
地块Block_32,399.0025397306468,9691.095267828561,0,0,[]
地块Block_33,191.56237508010327,2212.9755855803196,1,1,[]
地块Block_34,395.16025079632414,7313.019277202792,1,1,[]
地块Block_35,786.6924006275175,34798.872321705356,1,2,[]
地块Block_36,518.2995485966657,4498.448128595706,0,1,[]
地块Block_37,2170.973039208496,214743.74854690713,0,0,[]
地块Block_38,1461.970206093465,12639.797309487518,0,0,[]
地块Block_39,677.0624504208969,7290.557971112713,0,0,[]
地块Block_40,1038.1949729216458,65987.13069509626,0,0,[]
地块Block_41,538.3179949208351,4184.674597105741,0,0,[]
地块Block_42,1646.5166273542138,119642.87614408573,0,0,[]
地块Block_43,1492.961116297035,4646.553872673947,0,0,[]
地块Block_44,317.3738653182314,1571.5447916584935,0,0,[]
地块Block_45,1248.0602297628188,10188.362214305305,0,1,[]
地块Block_46,134.97571308713088,786.1834726096242,0,0,[]
地块Block_47,309.0062014303148,1140.6736001516933,0,0,[]
地块Block_48,332.56957107155296,2791.238582122071,0,0,[]
地块Block_49,589.9177408943301,5523.146167392457,0,0,[]
地块Block_50,739.4079544562106,3164.7841522164063,0,0,[]
地块Block_51,3379.0066827102155,4434.1504986064265,0,0,[]
地块Block_52,4262.936569894824,5473.955185323719,0,0,[]
地块Block_53,343.9570816071669,7193.567744511602,0,0,[]
地块Block_54,751.9565305006166,38583.27538515691,0,0,[]
地块Block_55,365.19477943695034,5592.797409109271,0,0,[]
地块Block_56,403.67037966008667,9266.020948040568,0,0,[]
地块Block_57,459.6137798403894,10145.305422542422,0,0,[]
