地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,30077.388254717924,39313.347577934976,1,1,[]
地块Block_1,816.1274507199688,3478.90894676268,0,0,[]
地块Block_2,1302.1567273091591,92770.89120415265,1,1,[]
地块Block_3,1285.932294505102,7752.374699160021,0,0,[]
地块Block_4,1732.586391934468,11485.97082837753,0,0,[]
地块Block_5,2582.383705216424,5280.532936854823,0,0,[]
地块Block_6,719.9838898724892,7535.307465131404,0,0,[]
地块Block_7,1248.7721590190351,20533.956826241243,1,1,[]
地块Block_8,2050.115743356136,179317.00358878134,0,0,[]
地块Block_9,842.3447242419518,9612.961745697747,0,0,[]
地块Block_10,1041.1310237575947,11145.318723221857,0,0,[]
