地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,111697.14359446996,141684.7447934042,9,9,[]
地块Block_1,4096.655748576112,676463.858237419,44,255,[]
地块Block_2,2622.503110909163,153742.4852895078,0,25,[]
地块Block_3,697.3232460868137,28550.65606703627,0,11,[]
地块Block_4,607.5187181383835,21818.85284212742,0,4,[]
地块Block_5,752.43880685423,35491.51685996676,1,5,[]
地块Block_6,1325.0943838145815,103802.09073486732,0,21,[]
地块Block_7,899.6926054069585,49155.93097255942,4,4,[]
地块Block_8,928.4811092438979,52183.98302246504,2,2,[]
地块Block_9,1065.558151313232,36808.751416589155,1,1,[]
地块Block_10,1883.9709778650795,138246.6555140503,4,31,[]
地块Block_11,1174.924021715312,66248.52410772677,0,0,[]
地块Block_12,826.127033827377,35789.99003573934,0,8,[]
地块Block_13,2145.6486351798258,112702.11652767034,0,0,[]
地块Block_14,192.60104836828143,1425.6845178441513,0,0,[]
地块Block_15,804.8369537652032,40504.14677280154,2,3,[]
地块Block_16,1540.6026634227137,50171.99041947773,0,0,[]
地块Block_17,973.2151123838837,7228.271772604327,0,0,[]
地块Block_18,350.4321341719098,4052.4448777867865,0,0,[]
地块Block_19,847.2099373696993,35951.95991986451,0,0,[]
地块Block_20,268.992210384843,3479.302238696413,0,0,[]
地块Block_21,491.55936769178487,14647.022141995403,0,0,[]
地块Block_22,633.8925218552439,18507.176849997515,0,0,[]
地块Block_23,789.2105450340814,36680.75313755385,1,7,[]
地块Block_24,606.6106207781738,19998.259027651056,0,0,[]
地块Block_25,566.7168931004982,19422.74884015509,0,7,[]
地块Block_26,569.3804887673815,20211.776723404808,1,1,[]
地块Block_27,1132.2977051145167,71104.80136663212,2,6,[]
地块Block_28,1532.0032399056527,150173.65321688785,2,34,[]
地块Block_29,650.0124240173299,25672.829448957935,1,2,[]
地块Block_30,367.6687044389716,7717.66342677854,1,1,[]
地块Block_31,709.8606816020588,27892.284556647704,0,6,[]
地块Block_32,889.4141675599031,49265.74213270014,0,10,[]
地块Block_33,2473.9299228168725,18205.07898723909,0,0,[]
地块Block_34,1842.332908909887,5304.322064308741,0,0,[]
地块Block_35,334.455478509001,7306.847277033035,1,1,[]
地块Block_36,1099.8638809261658,67925.83682894448,0,0,[]
地块Block_37,3067.410170294138,399761.18336007756,0,30,[]
地块Block_38,982.0803898749484,6082.0827244698885,0,0,[]
地块Block_39,999.6571874529186,6500.805531436801,0,0,[]
地块Block_40,1004.4106667318565,4748.902768454411,0,0,[]
地块Block_41,1628.5938632550433,86841.40721148477,1,7,[]
地块Block_42,1478.7335703779838,71078.48880464281,0,4,[]
地块Block_43,907.6078035400657,2544.134756342324,0,0,[]
地块Block_44,919.283959056776,4582.267563977302,0,0,[]
地块Block_45,808.3457226939279,33608.079028580054,1,3,[]
地块Block_46,1538.3960553068769,13477.39376689039,0,0,[]
地块Block_47,1526.1825569434714,7528.243717877984,0,0,[]
地块Block_48,1523.6193917808725,9449.172698081322,0,0,[]
地块Block_49,171.62684943513997,1460.7779778889565,0,0,[]
地块Block_50,175.2089593574837,1225.6870454960756,0,0,[]
地块Block_51,245.74109792736118,2299.924349945803,0,0,[]
地块Block_52,745.6494784421006,4036.331265568962,0,0,[]
地块Block_53,1513.015294055935,122242.14043499633,0,44,[]
地块Block_54,1016.5719742277311,52846.997517566706,1,10,[]
地块Block_55,2108.5368597316374,231327.96382444425,1,24,[]
地块Block_56,1785.0798633628378,186165.24776601198,2,19,[]
地块Block_57,1041.7766769274795,52145.7550566555,0,2,[]
地块Block_58,198.49213345222788,1359.3710014890983,0,0,[]
地块Block_59,784.2654241557888,4136.24569074849,0,0,[]
地块Block_60,832.1817936035063,42407.66885167628,4,5,[]
地块Block_61,854.2941054636299,47642.29925350802,1,9,[]
地块Block_62,1771.9121411947478,2114.341218186196,0,0,[]
地块Block_63,124.90215967948802,697.9991282319475,0,0,[]
