地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,52548.75751261559,66845.64526580517,3,3,[]
地块Block_1,1749.9811349879415,16361.674359731594,0,1,[]
地块Block_2,2757.972256557734,357336.1052567188,1,2,[]
地块Block_3,511.53603781402717,1972.2446931718307,0,0,[]
地块Block_4,1881.4333389598673,220258.39038576474,0,0,[]
地块Block_5,2131.7356239844794,240125.84816182283,0,0,[]
地块Block_6,1578.1875422885128,147568.91228810855,0,0,[]
地块Block_7,929.3212431687059,6946.23531016473,0,0,[]
地块Block_8,942.1383405592819,10317.680476997946,0,0,[]
地块Block_9,1503.8282673030815,132214.89601080533,0,0,[]
地块Block_10,1644.0572921147843,149656.4359340842,0,1,[]
地块Block_11,945.8076903240704,6452.411233154233,0,0,[]
地块Block_12,1501.8253551849373,142698.120283254,0,0,[]
地块Block_13,596.5829664820386,5514.225475528626,0,0,[]
地块Block_14,526.786462865921,2086.2796802239086,0,0,[]
地块Block_15,4758.754461159123,592258.6122341173,3,8,[]
地块Block_16,1545.0487681070347,148842.5239259685,0,0,[]
地块Block_17,2252.145883492306,281024.1575364938,0,2,[]
地块Block_18,761.9796998742913,3502.9854604339257,0,0,[]
地块Block_19,902.2060406727865,3043.361273920275,0,0,[]
地块Block_20,2149.919425319443,12147.161882090844,0,0,[]
地块Block_21,235.49583628568473,4359.309317676488,0,0,[]
地块Block_22,2175.6875409868508,243396.60728725893,2,3,[]
地块Block_23,1580.0022014845354,147508.53885381448,0,1,[]
地块Block_24,1688.9720218488035,16186.320020012585,0,0,[]
地块Block_25,1153.3941886957184,6776.26135229687,0,0,[]
