地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,101425.86780106659,130856.36183893352,1,1,[]
地块Block_1,1741.3105628403644,10109.004205755846,0,0,[]
地块Block_2,4623.981723962216,414626.06235494494,1,1,[]
地块Block_3,1349.9946273444898,102639.04463275801,2,3,[]
地块Block_4,997.0798564657721,4709.7433923616345,0,0,[]
地块Block_5,1931.0705890971294,56497.906784584484,0,0,[]
地块Block_6,1491.4222540495484,27102.673918603425,0,0,[]
地块Block_7,6289.41585272079,291976.3594004708,7,10,[]
地块Block_8,1474.3307065451556,113952.44558551096,1,2,[]
地块Block_9,4401.752673805972,488244.3125399999,5,11,[]
地块Block_10,729.6805298642536,9398.611425404175,0,0,[]
地块Block_11,524.2200856901421,8009.253773417586,0,1,[]
地块Block_12,600.4494365077593,2957.9611763860867,0,0,[]
地块Block_13,1774.9342606599082,194521.9810347588,7,10,[]
地块Block_14,1781.7214959516898,189634.24990452293,3,7,[]
地块Block_15,1860.6693352307225,199025.7370779723,5,16,[]
地块Block_16,1237.6579486481935,6792.620613662964,0,0,[]
地块Block_17,1974.2568408094385,199043.95113950997,1,1,[]
地块Block_18,1728.5842340780746,180232.76311558668,0,1,[]
地块Block_19,1693.9519478972572,174119.183760524,1,4,[]
地块Block_20,1660.2881060540838,166663.5961341741,3,8,[]
地块Block_21,1016.221648596798,5829.037444906136,0,0,[]
地块Block_22,1884.2643211206002,221839.56253277778,0,1,[]
地块Block_23,1007.8158311135204,5029.526759575659,0,0,[]
地块Block_24,352.06003716851865,2006.9848409620263,0,0,[]
地块Block_25,1363.5970434669175,93798.99802489766,1,3,[]
地块Block_26,1506.2650746916433,17837.01114300275,0,0,[]
地块Block_27,713.3710557715032,30058.93511659955,1,1,[]
地块Block_28,796.1152159786214,19633.781731992596,0,0,[]
地块Block_29,384.86827778817735,5900.040382595998,0,0,[]
地块Block_30,189.41231852227952,1753.971451056233,0,0,[]
地块Block_31,433.855606519423,2132.894532575035,0,0,[]
地块Block_32,1579.7388396945848,131954.6093001301,4,5,[]
地块Block_33,307.01367747468475,1461.299716647954,0,0,[]
地块Block_34,383.0508664435142,1896.6582110642576,0,0,[]
地块Block_35,925.7021070898909,51872.09348779527,0,0,[]
地块Block_36,252.99706828352575,3270.2088873846383,0,0,[]
地块Block_37,257.9142944004736,3499.4538749769927,0,0,[]
地块Block_38,276.834566159538,3782.375067774222,0,0,[]
地块Block_39,346.5587389832111,7448.591453254463,0,0,[]
地块Block_40,297.54148742078473,4501.101596468907,0,0,[]
地块Block_41,234.03227272409887,2596.6973880982046,0,0,[]
地块Block_42,253.58534178275283,3536.274971539798,0,0,[]
地块Block_43,780.0143794140182,12566.336276429474,0,0,[]
地块Block_44,242.31765354000964,3242.7782366447263,0,0,[]
地块Block_45,233.77144399511118,2847.9835059503393,0,0,[]
地块Block_46,251.9574717471624,3359.0127650381214,0,0,[]
地块Block_47,253.88195685385415,3431.449235328458,0,0,[]
地块Block_48,249.7272987548194,3233.1894358302443,0,0,[]
地块Block_49,249.07193510289264,3186.007902350836,0,0,[]
地块Block_50,1178.799594209458,81048.62573878422,0,0,[]
地块Block_51,1136.629219917788,75432.91937383827,0,0,[]
地块Block_52,2068.3034599472785,132591.54488430903,0,0,[]
地块Block_53,1721.7588213061424,76630.5749239932,1,3,[]
地块Block_54,1556.0513354263496,8060.746378833031,0,0,[]
地块Block_55,326.1579147536929,989.496952170703,0,0,[]
地块Block_56,905.408656861483,41612.77145639354,0,0,[]
地块Block_57,1767.2671450411835,150365.4925618687,1,1,[]
地块Block_58,713.0719956502519,32844.85486607036,0,0,[]
地块Block_59,1139.6829242633275,71472.92954892975,0,0,[]
地块Block_60,652.6083924320308,23502.40655383832,1,2,[]
地块Block_61,823.16285839924,32285.590799426922,0,0,[]
地块Block_62,837.8610108192294,55411.903688435275,0,0,[]
地块Block_63,723.2411856611608,32743.54118719787,0,0,[]
地块Block_64,576.2811256542584,19207.793974006716,1,2,[]
地块Block_65,488.88104878049614,2316.6618866384624,0,0,[]
地块Block_66,3900.0110230191713,5043.8773184469355,0,1,[]
地块Block_67,347.52658912810807,5477.89766224963,0,0,[]
地块Block_68,237.41735969794166,4453.037009676845,0,0,[]
地块Block_69,716.402868146395,5523.011745033608,0,0,[]
