地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,64076.66826841325,80741.86859550493,1,1,[]
地块Block_1,883.2255607441019,14833.438273958973,0,0,[]
地块Block_2,844.0535029157047,23182.310098676626,0,0,[]
地块Block_3,724.5159536868235,19132.738817144927,1,1,[]
地块Block_4,2803.886211141276,76138.79390130934,1,1,[]
地块Block_5,2563.8954757463457,209058.78128295872,0,0,[]
地块Block_6,2373.0203337686326,342414.80598329264,1,2,[]
地块Block_7,934.1271842457382,13210.794463622355,0,0,[]
地块Block_8,595.6464902492501,4711.034622806898,0,0,[]
地块Block_9,1216.4339387070788,42626.763101007185,1,2,[]
地块Block_10,2959.856869964751,318220.0163884025,1,1,[]
地块Block_11,2746.306265768799,115508.79936333792,0,0,[]
地块Block_12,813.7837966052077,6972.832036815298,0,0,[]
地块Block_13,196.29367170037133,1931.2051237740852,0,0,[]
地块Block_14,2498.5596050933514,278084.86026054976,0,0,[]
地块Block_15,991.299898440267,10822.685057939534,0,0,[]
地块Block_16,391.69749916254773,4130.150842497944,0,0,[]
地块Block_17,586.3537369177664,4655.681148611597,0,0,[]
地块Block_18,723.4440990756991,6002.500544342645,0,0,[]
地块Block_19,201.99174631842385,1199.5910282823634,0,0,[]
地块Block_20,2213.8027000475076,311897.9827318154,1,12,[]
地块Block_21,3273.655500843695,361388.24769607343,2,4,[]
地块Block_22,2509.336170294527,15326.9445486292,0,0,[]
地块Block_23,985.5761337701352,4505.544394535216,0,0,[]
地块Block_24,699.6862100553157,10439.396311444803,0,0,[]
地块Block_25,1101.5962712738844,7509.792989245389,0,0,[]
地块Block_26,307.2639533576502,2308.346946889838,0,0,[]
地块Block_27,1255.1403549070562,55239.27928874412,0,0,[]
地块Block_28,1006.5111890761855,47801.15067063886,0,0,[]
地块Block_29,575.4875144758208,5800.122357334709,0,0,[]
地块Block_30,174.15235416396996,1246.6662756496573,0,0,[]
地块Block_31,195.59540122948403,1872.3168316518397,0,0,[]
地块Block_32,1627.9386034125923,9604.551923762036,0,0,[]
地块Block_33,726.007785741742,4635.698569209214,0,0,[]
地块Block_34,729.8702778397042,23333.108800421807,0,0,[]
