地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,128768.09744881737,163300.9170121334,0,0,[]
地块Block_1,1328.1579280688657,10093.94097550359,0,1,[]
地块Block_2,2953.039010761012,427016.1800263958,2,3,[]
地块Block_3,1651.565220331009,18314.232988294854,0,1,[]
地块Block_4,1060.443332896088,13872.528889748626,0,1,[]
地块Block_5,1587.9087593728057,11500.361084278342,0,0,[]
地块Block_6,2768.1254526165317,360772.08032544976,5,8,[]
地块Block_7,1172.037081414919,4491.476064428775,0,0,[]
地块Block_8,984.5470932286728,13382.320607462387,0,0,[]
地块Block_9,914.1098784794696,5379.123146196644,0,0,[]
地块Block_10,1631.9001589024228,151906.5414181721,1,1,[]
地块Block_11,824.9577805970498,44043.09765967692,0,0,[]
地块Block_12,2066.3252396348835,240944.21512942592,0,0,[]
地块Block_13,1543.2713685458343,141598.05601205296,1,9,[]
地块Block_14,1283.167560365807,10751.89873435992,0,0,[]
地块Block_15,1374.4819613580037,18628.39635027069,0,0,[]
地块Block_16,1600.405364456415,98259.70923780945,0,0,[]
地块Block_17,437.17425779279,3956.4751760284767,0,0,[]
地块Block_18,1042.4256001937588,4125.4089086817585,0,0,[]
地块Block_19,2600.4445583099578,363116.53031982196,0,16,[]
地块Block_20,1129.807413380194,4413.08395743871,0,0,[]
地块Block_21,321.1633400624993,5720.597521077227,0,0,[]
地块Block_22,354.25110950788365,8356.224352568337,0,0,[]
地块Block_23,298.3721251298101,5628.778229164127,0,0,[]
地块Block_24,414.78962347045945,10040.380295657593,0,0,[]
地块Block_25,339.916516768123,7121.390016410483,0,2,[]
地块Block_26,270.8286484857359,3541.0048163016395,0,1,[]
地块Block_27,677.0624504482639,7290.557896275328,0,0,[]
地块Block_28,838.9080511754853,3148.5163384769567,0,0,[]
地块Block_29,476.93694916133916,2506.5807020562715,0,0,[]
地块Block_30,459.49864526228885,9680.3486878145,0,0,[]
地块Block_31,169.50535732423143,1170.0165845881663,0,0,[]
地块Block_32,167.29182374960607,716.6245937429135,0,0,[]
地块Block_33,525.2647707063005,16616.86631405681,0,1,[]
地块Block_34,358.717789417756,2290.6194571785345,0,0,[]
地块Block_35,1128.8148856293456,5768.513606370386,0,0,[]
地块Block_36,1214.5224897992096,7888.130691567142,0,0,[]
地块Block_37,337.74870312733515,1342.3358228792586,0,0,[]
地块Block_38,223.76400464672795,816.3737030988171,0,0,[]
地块Block_39,203.0919828927802,1087.9798033232441,0,0,[]
地块Block_40,392.1871239793939,2325.372603934636,0,0,[]
地块Block_41,867.7453273559908,46172.65079736576,0,9,[]
地块Block_42,131.0766614433496,728.6949811801053,0,0,[]
地块Block_43,514.9975896119169,2994.118994525458,0,0,[]
地块Block_44,349.4125925696445,2895.6394523447616,0,0,[]
地块Block_45,917.9398739700329,2786.883496093513,0,0,[]
地块Block_46,1181.4566963855793,15595.092400559963,0,0,[]
地块Block_47,1140.8164569466228,6550.535155648551,0,0,[]
地块Block_48,1084.1606302124108,1863.2026467910869,0,0,[]
地块Block_49,263.0226009179109,2317.493236981649,0,0,[]
地块Block_50,265.38975787146774,2642.640902678711,0,0,[]
地块Block_51,200.80074233897219,1326.633328452839,0,0,[]
地块Block_52,466.7454918674287,3194.7925658637587,0,0,[]
地块Block_53,194.44851388603206,1274.1561803646073,0,0,[]
地块Block_54,894.2258817352689,5868.38374428115,0,0,[]
地块Block_55,780.45808390545,1479.1222077774416,0,0,[]
地块Block_56,409.56989967092153,1642.9564988892594,0,0,[]
地块Block_57,1321.9618985209734,8467.76022393378,0,2,[]
地块Block_58,875.9396767110098,5859.889798000112,0,0,[]
地块Block_59,1021.7261829720838,65955.50711738657,4,5,[]
地块Block_60,5395.333737639425,48097.10751272701,0,1,[]
地块Block_61,2053.634133518994,213963.94446525307,1,6,[]
地块Block_62,1315.4356859939098,7420.46701265541,0,0,[]
地块Block_63,744.9078835615474,5333.766667859326,0,0,[]
地块Block_64,1158.6107721032902,80926.07890852018,0,9,[]
地块Block_65,630.8734409954075,2234.5313797965246,0,0,[]
地块Block_66,924.1284728537383,49101.99640714065,0,3,[]
地块Block_67,333.898275548163,1015.121978544073,0,0,[]
地块Block_68,791.0424730776954,37823.55086668569,0,2,[]
地块Block_69,428.10422464569723,2220.7525673790997,0,0,[]
地块Block_70,632.9151529598606,3615.669952111039,0,0,[]
地块Block_71,352.6135069499701,1862.1099815386874,0,0,[]
地块Block_72,1175.5041818095888,5268.79610704147,0,0,[]
地块Block_73,528.7450357731921,2997.2480662687067,0,0,[]
地块Block_74,279.9012441825236,2365.951934395976,0,0,[]
地块Block_75,536.7302368981477,3398.518134179725,0,0,[]
地块Block_76,928.8879620681473,51446.11803447649,1,2,[]
地块Block_77,705.1544567577188,2387.457076122313,0,0,[]
地块Block_78,912.0394793792882,30412.786633277898,1,1,[]
地块Block_79,2251.5017995536277,16802.852008406593,0,0,[]
地块Block_80,397.42982612496996,2700.8615890848932,0,0,[]
地块Block_81,324.13525927145434,2078.8470523678743,0,0,[]
地块Block_82,267.31748843703946,1403.3482618861383,0,0,[]
地块Block_83,1114.9966782031252,66883.32073865493,0,0,[]
地块Block_84,318.58729766547634,2113.5331043916344,0,0,[]
地块Block_85,142.74928051654962,683.58561047236,0,0,[]
地块Block_86,483.9599216539558,2694.536811982698,0,0,[]
地块Block_87,1432.8795754268535,1836.1471748878212,0,0,[]
地块Block_88,290.0663144952499,6397.610393633169,0,0,[]
