地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,104010.13770850436,131262.90817330126,11,13,[]
地块Block_1,570.7342322809288,16842.945685884028,0,0,[]
地块Block_2,2742.0029983309014,476683.87645932566,45,108,[]
地块Block_3,3366.4062763497627,363670.2060409631,8,31,[]
地块Block_4,668.7220833670896,25218.311175791063,3,6,[]
地块Block_5,1695.710716758726,67488.38946120212,9,29,[]
地块Block_6,5466.125960747779,837181.1773708457,32,151,[]
地块Block_7,1301.713010758971,95570.93078040295,5,9,[]
地块Block_8,306.2249026818246,1584.2592635216376,0,1,[]
地块Block_9,649.9157276190901,25724.84436134303,2,4,[]
地块Block_10,961.7942475338116,53137.01338737476,3,25,[]
地块Block_11,370.8776596114857,6216.4046332726675,0,3,[]
地块Block_12,1994.2919256554937,243819.0052114457,5,25,[]
地块Block_13,2303.7079216845996,187125.81400607582,1,3,[]
地块Block_14,2746.8154811455747,476355.40875733714,10,148,[]
地块Block_15,1998.780166338268,236249.88785170318,8,29,[]
地块Block_16,1226.0796102496513,6208.715286537292,0,0,[]
地块Block_17,980.5997386651125,46078.07978632789,0,13,[]
地块Block_18,1774.581339760392,188756.13689747333,16,35,[]
地块Block_19,2383.2124215021063,200797.58219989354,23,39,[]
地块Block_20,1439.5937558232336,116021.28002552634,4,8,[]
地块Block_21,1252.168775366636,8221.896906219992,0,1,[]
地块Block_22,397.69045817248855,9564.362997621352,1,3,[]
地块Block_23,283.8073096881509,4976.122367999626,2,4,[]
地块Block_24,329.6159760291391,6652.249171236406,0,1,[]
地块Block_25,1199.8714613701234,52517.16768714547,2,11,[]
地块Block_26,1020.271577671867,6030.4263232086705,0,1,[]
地块Block_27,965.9641047945713,56300.72713546651,1,7,[]
地块Block_28,990.8907249422987,53848.575909123756,4,10,[]
地块Block_29,689.5021531512525,28806.03752681944,5,9,[]
地块Block_30,1023.4308709336763,65880.5938807781,0,35,[]
地块Block_31,854.301522809013,45397.94158942859,0,8,[]
地块Block_32,919.6087003790171,40029.64597880806,2,18,[]
地块Block_33,389.915402521165,8990.272117959068,0,8,[]
地块Block_34,1318.7278289491042,99865.82602797414,3,44,[]
地块Block_35,685.5843718753288,27798.692281454645,3,9,[]
地块Block_36,659.9427296956421,23018.467591180648,3,5,[]
地块Block_37,646.9845607551518,22191.197999643773,1,7,[]
地块Block_38,891.9288771728394,39553.848556050296,2,5,[]
地块Block_39,372.74324290902547,1911.8908450543208,0,1,[]
地块Block_40,568.9439893675052,3830.5688992636647,0,2,[]
地块Block_41,219.23035886659426,2001.5116074910898,0,0,[]
地块Block_42,783.5779820019295,38064.702893397836,1,6,[]
地块Block_43,2955.9414481973354,252868.4401198913,6,44,[]
地块Block_44,1244.840270034762,92625.74906174045,3,8,[]
地块Block_45,995.33990725735,50511.63585410005,4,15,[]
地块Block_46,256.8200099578026,690.1923360335959,0,0,[]
地块Block_47,266.84454989031826,1325.538425273292,0,0,[]
地块Block_48,255.78643571425744,1399.2504840818433,0,0,[]
地块Block_49,1101.7702927551436,45682.35898124588,3,13,[]
地块Block_50,647.342221885608,25777.599855937853,2,3,[]
地块Block_51,792.7653176254637,4492.564810102493,0,0,[]
地块Block_52,864.9549111429011,36380.66294447194,1,9,[]
地块Block_53,1139.1698292770263,77709.96842039809,2,43,[]
地块Block_54,783.4605258443022,26259.189249942836,1,7,[]
地块Block_55,933.6035121094584,55970.469027934356,0,8,[]
地块Block_56,512.4706923553307,15518.756694436925,1,6,[]
地块Block_57,561.2173712066731,14370.819252274503,1,6,[]
地块Block_58,492.6072756840529,14715.269858605188,5,10,[]
地块Block_59,453.1617207782868,11900.028919560755,2,6,[]
地块Block_60,295.060997495641,5228.10426867152,0,3,[]
地块Block_61,562.717021257978,16076.44847039796,0,7,[]
地块Block_62,356.32614555668664,7821.96933844044,1,4,[]
地块Block_63,1138.9397991064461,71533.54344376434,1,13,[]
地块Block_64,847.8056452679065,5021.886563966978,0,0,[]
地块Block_65,436.71769509397376,11491.32268330521,3,5,[]
地块Block_66,781.0883062879027,32522.37471422077,1,16,[]
地块Block_67,717.0650721287157,19485.304256827538,2,5,[]
地块Block_68,2928.705851748136,421673.94977394585,10,51,[]
地块Block_69,1436.7570824158508,117910.64295660202,15,37,[]
地块Block_70,625.5299238678635,15516.450756453847,0,0,[]
地块Block_71,1492.4106722444044,22320.278593298335,0,0,[]
地块Block_72,865.5791715600827,46269.61728771456,0,0,[]
地块Block_73,406.8988522241435,2402.257374419796,0,0,[]
地块Block_74,2398.2743945408442,261470.23364053914,17,50,[]
地块Block_75,682.2038041840148,5578.901522376338,0,0,[]
