地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,56820.64202618817,119495.33625520505,3,3,[]
地块Block_1,420.65934511039546,10899.69703993815,0,0,[]
地块Block_2,2462.2349531646096,22304.53747372682,0,0,[]
地块Block_3,308.9002965311957,3110.0357276748027,0,0,[]
地块Block_4,2714.474439314528,172108.1937752731,3,26,[]
地块Block_5,764.8290910664566,22506.901301344806,0,0,[]
地块Block_6,6135.610080019305,465376.04634068155,0,3,[]
地块Block_7,239.8647675613764,3384.057831712287,0,0,[]
地块Block_8,223.98392583693362,2611.8035727888196,0,0,[]
地块Block_9,1439.3419612981802,75684.69424014469,0,0,[]
地块Block_10,1319.4412089790812,99600.50924050281,0,28,[]
地块Block_11,2119.7150075461163,304893.14765312016,2,2,[]
地块Block_12,1227.31169210493,7115.855019077364,0,0,[]
地块Block_13,680.8173644195798,3395.5121774451145,0,0,[]
地块Block_14,851.155633287326,2414.416450113218,0,0,[]
地块Block_15,306.56871116491646,5211.052245936816,0,0,[]
地块Block_16,199.8236967450129,2389.302568348837,0,0,[]
地块Block_17,203.489208006961,2286.8914687951224,0,0,[]
地块Block_18,1306.404907258821,13564.56033761987,0,0,[]
地块Block_19,1628.4557710032286,99866.38046250942,0,28,[]
地块Block_20,1363.146188919842,7885.23859679712,0,0,[]
地块Block_21,210.52585402074305,2638.192831524389,0,0,[]
地块Block_22,537.5045602554345,17854.613926031485,0,0,[]
地块Block_23,601.8643138876716,22602.86826321652,0,1,[]
地块Block_24,952.6850997128519,3837.8517448920466,0,0,[]
地块Block_25,1001.4263220316072,4702.131523373113,0,0,[]
地块Block_26,960.6887457661679,3531.883266552989,0,0,[]
地块Block_27,992.8765660553088,3310.5830994090375,0,0,[]
地块Block_28,548.6052341327788,705.881594185965,0,0,[]
地块Block_29,634.5203629025041,858.5768339616337,0,0,[]
