地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,99201.50775002314,124774.2232905473,9,9,[]
地块Block_1,1140.6166618856087,6085.110070463052,0,1,[]
地块Block_2,2378.2727002473102,149381.38746248078,5,14,[]
地块Block_3,379.1691087219696,6620.528266357566,0,1,[]
地块Block_4,1648.4343919461,124202.02339270638,2,12,[]
地块Block_5,1199.87146137069,52517.19627592802,2,11,[]
地块Block_6,2886.020757039759,379849.4641275451,29,93,[]
地块Block_7,283.8073096881509,4976.122367999626,2,4,[]
地块Block_8,329.6159760291391,6652.249171236406,0,1,[]
地块Block_9,1252.1687753668223,8221.896918774099,0,1,[]
地块Block_10,397.6904581681882,9564.362997676684,1,3,[]
地块Block_11,823.2117072597825,37934.87452442808,3,7,[]
地块Block_12,1114.0083432178394,74495.88604193246,7,14,[]
地块Block_13,269.38918238170294,1048.5377241275517,0,0,[]
地块Block_14,2025.2114663528255,156717.96266003922,18,34,[]
地块Block_15,663.8764373053358,25899.892772785774,0,0,[]
地块Block_16,850.2732910445045,44428.26736541858,0,0,[]
地块Block_17,3510.3644518159404,441287.4935496124,26,94,[]
地块Block_18,2111.3501541482733,272256.1915449711,35,104,[]
地块Block_19,3193.902797538919,363699.9927921479,15,91,[]
地块Block_20,1204.2001624288475,86468.03756113844,2,13,[]
地块Block_21,795.9004589556324,37315.28646412563,6,11,[]
地块Block_22,1172.8391793770552,87750.48462088102,9,17,[]
地块Block_23,1022.0811319614272,65596.00836667106,2,30,[]
地块Block_24,1916.4153443274536,209835.7241854859,8,53,[]
地块Block_25,2644.4308321125413,475960.3204386812,9,26,[]
地块Block_26,1922.6363355211358,190921.69095025974,15,29,[]
地块Block_27,681.7177689624816,26929.180369202404,2,2,[]
地块Block_28,532.1256451708297,21986.687953319157,2,3,[]
地块Block_29,191.77436948960968,1368.8528690108656,0,0,[]
地块Block_30,593.2303961279504,21732.63410592602,2,11,[]
地块Block_31,516.7633475842972,15498.738759993097,0,3,[]
地块Block_32,354.93313194107645,1001.4717886724617,0,0,[]
地块Block_33,432.43143400462657,11452.174403892672,4,5,[]
地块Block_34,2321.7142846083343,251704.34267583725,2,12,[]
地块Block_35,1994.2919256555053,243819.005211841,5,25,[]
地块Block_36,2303.707921684652,187125.81400603036,1,3,[]
地块Block_37,965.9641048064194,56300.72713543099,1,7,[]
地块Block_38,1439.5937558242244,116021.28002560497,4,8,[]
地块Block_39,1964.5338343780986,244023.29148041306,19,51,[]
地块Block_40,1499.9158230047162,7733.638393243447,0,0,[]
地块Block_41,1872.734604267627,207002.25067285422,12,34,[]
地块Block_42,1774.5813397604381,188756.13689744464,16,35,[]
地块Block_43,2383.2124215031427,200797.5989822712,23,39,[]
地块Block_44,921.6694975776434,3952.4493644981962,0,2,[]
地块Block_45,1123.4225673658025,5374.398880587436,0,1,[]
地块Block_46,1028.7289323338712,4721.7754511899575,0,1,[]
地块Block_47,351.18705815428234,1900.4845039694455,0,0,[]
地块Block_48,96.24803552526733,690.1676171946704,1,3,[]
地块Block_49,1159.1922350716109,7427.787604170587,2,2,[]
地块Block_50,1127.0965039863534,3012.1422119336326,1,1,[]
地块Block_51,1020.2715776718671,6030.426323208666,0,1,[]
地块Block_52,1127.0641338038129,2091.3798424201505,0,0,[]
地块Block_53,371.8259066316184,6002.040672585038,0,0,[]
地块Block_54,3366.4062763503493,363670.1951026706,8,31,[]
地块Block_55,2746.815481147739,476355.4087578773,10,148,[]
地块Block_56,1695.7107167510271,67488.389460956,9,29,[]
地块Block_57,668.7220833670895,25218.311175791066,3,6,[]
地块Block_58,1244.8402700346976,92625.75009974446,3,8,[]
地块Block_59,995.3399072589981,50511.635854126536,4,15,[]
地块Block_60,329.222207383646,7000.012491703276,1,1,[]
