地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,100592.10686136868,129623.02039050263,1,1,[]
地块Block_1,1491.4222540495412,27102.673626167118,0,0,[]
地块Block_2,6289.41585268214,291976.35959786037,7,10,[]
地块Block_3,1439.2427816866693,120748.43784692582,0,0,[]
地块Block_4,2179.503791222616,285663.71376251057,2,3,[]
地块Block_5,2134.4335730031216,269867.006307549,1,2,[]
地块Block_6,1786.173931200824,159935.2493657461,0,2,[]
地块Block_7,1340.8761230909304,13249.581197225772,0,0,[]
地块Block_8,307.01367747381306,1461.2997167388635,0,0,[]
地块Block_9,524.2200856901421,8009.253773417585,0,1,[]
地块Block_10,1667.7790023139305,172627.79499106205,6,12,[]
地块Block_11,1186.6094998092635,6235.7425757832625,0,0,[]
地块Block_12,2699.670092263155,239313.45731215607,0,6,[]
地块Block_13,1363.5970434669173,93798.99802489765,1,3,[]
地块Block_14,3030.9265958835285,440989.2451428232,4,9,[]
地块Block_15,5332.501418685765,1011951.7610840191,2,11,[]
地块Block_16,1121.893513762827,64697.81255825383,0,0,[]
地块Block_17,830.1414477038192,6973.331690808797,0,0,[]
地块Block_18,3036.312937725522,31961.945561171622,0,0,[]
地块Block_19,815.2964009646983,5180.804076013506,0,0,[]
地块Block_20,2445.814437996527,238103.8031336258,0,22,[]
地块Block_21,1237.6579486481935,6792.620613662964,0,0,[]
地块Block_22,1136.852064098844,83093.80953202823,0,1,[]
地块Block_23,1283.158407616864,14586.436947570646,0,0,[]
地块Block_24,2007.5389807667084,103565.4804983284,0,6,[]
地块Block_25,1150.0995064364022,53163.92609810822,0,0,[]
地块Block_26,950.0555543030551,9936.003629428415,0,0,[]
地块Block_27,729.6805298642558,9398.611391761062,0,0,[]
地块Block_28,2078.6173001926954,12060.209325241169,0,0,[]
地块Block_29,2065.609382292766,264458.1629832052,0,31,[]
地块Block_30,796.1152159786214,19633.781731992596,0,0,[]
地块Block_31,384.86827778817735,5900.040382595998,0,0,[]
地块Block_32,189.4123185222795,1753.9714510562326,0,0,[]
地块Block_33,383.05086644351417,1896.6582110642564,0,0,[]
地块Block_34,252.99706828352578,3270.208887384638,0,0,[]
地块Block_35,257.9142944004736,3499.4538749769927,0,0,[]
地块Block_36,276.83456615953804,3782.375067774222,0,0,[]
地块Block_37,297.54148742066485,4501.101366412804,0,0,[]
地块Block_38,310.7704073578989,3842.420716445731,0,0,[]
地块Block_39,315.7140980205264,4653.255053082149,0,0,[]
地块Block_40,301.77509961619404,4199.186944937963,0,0,[]
地块Block_41,251.95747174745003,3359.008108642279,0,0,[]
地块Block_42,253.88195685384983,3431.4490602012,0,0,[]
地块Block_43,249.7272987548194,3233.1894358302443,0,0,[]
地块Block_44,249.07193510289264,3186.007902350836,0,0,[]
地块Block_45,346.5587389832079,7448.591453251517,0,0,[]
地块Block_46,780.0143794140182,12566.336276429478,0,0,[]
地块Block_47,234.03227272409893,2596.6973880982046,0,0,[]
地块Block_48,242.31765354004395,3242.778240140915,0,0,[]
地块Block_49,233.77144399511118,2847.9835059503393,0,0,[]
地块Block_50,669.021904164753,14261.747968042644,0,0,[]
地块Block_51,253.5853417827528,3536.274971539798,0,0,[]
地块Block_52,244.71578150787337,3089.3091305382563,0,0,[]
地块Block_53,615.133387556487,24518.374016807316,0,5,[]
地块Block_54,114.70426734721255,741.0570355711329,0,0,[]
地块Block_55,1296.7484595540045,49529.53476050765,0,14,[]
地块Block_56,452.6119328145378,10429.95268908681,0,2,[]
地块Block_57,386.3938759359345,7377.007666863699,0,2,[]
地块Block_58,261.23606839766734,4054.124000243625,0,1,[]
