地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,59611.92559855367,77075.91613252893,0,0,[]
地块Block_1,2024.9430284599114,40832.679960639805,0,0,[]
地块Block_2,2001.1294938473911,23656.370815637012,0,0,[]
地块Block_3,2025.7750980896008,33367.31770195627,0,0,[]
地块Block_4,1573.4468556533304,79997.98864493011,2,2,[]
地块Block_5,1605.3104549803077,92019.66957668727,0,0,[]
地块Block_6,1666.4554910096374,115904.6033462058,0,1,[]
地块Block_7,1943.5162999921429,14923.225018622741,0,0,[]
地块Block_8,1697.746250592761,22132.7444854853,0,0,[]
地块Block_9,1128.5558402832783,48385.88817518117,1,1,[]
地块Block_10,1485.1495479620885,16469.77391731232,0,0,[]
地块Block_11,679.5427095408255,3012.0470534812976,0,0,[]
地块Block_12,2267.9985609116106,301053.0087261823,1,1,[]
地块Block_13,2136.4872975333255,17515.921447663964,0,2,[]
地块Block_14,1162.4729878594019,48041.038639098384,0,1,[]
地块Block_15,241.1360068195015,1016.6985214013945,0,0,[]
地块Block_16,985.0227238523794,60335.061402117135,0,0,[]
地块Block_17,1390.9824629464167,29858.882514517187,0,2,[]
地块Block_18,633.3065511623855,6574.91383431807,0,0,[]
地块Block_19,627.8922201735107,4498.509812770252,0,0,[]
地块Block_20,270.7882929999616,1767.083419767502,0,0,[]
地块Block_21,484.19917965750193,5911.9016916719465,0,0,[]
地块Block_22,1920.3702536463888,16063.784245486953,0,0,[]
地块Block_23,1733.6601699946395,87550.96947412664,0,1,[]
地块Block_24,662.5851281375201,5994.9502837745185,0,0,[]
地块Block_25,751.2747609938161,30778.450150392742,0,0,[]
地块Block_26,496.652701765518,2228.36617616123,0,0,[]
地块Block_27,371.9922014908643,1613.0347789929879,0,0,[]
地块Block_28,645.5308004087283,2157.5850989324053,0,0,[]
地块Block_29,1415.5002999347314,7483.1950058696675,0,0,[]
地块Block_30,325.78626399442425,1618.8879489823762,0,0,[]
地块Block_31,521.1035716562596,6175.413319591965,0,0,[]
