地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,2262.3935766965624,2861.7232190886043,0,0,[]
地块Block_1,89058.6508028934,115153.50155004571,4,4,[]
地块Block_2,1008.5455734084442,5254.197043559801,0,0,[]
地块Block_3,2057.52387324329,239306.02611007687,4,5,[]
地块Block_4,2247.426329024761,250496.548229311,2,2,[]
地块Block_5,1824.7201231672493,199234.30960149493,4,12,[]
地块Block_6,3080.890204938029,32917.68138980599,0,0,[]
地块Block_7,2847.3147580539626,23335.09977645181,0,0,[]
地块Block_8,1303.1635101353254,109283.88794442816,1,2,[]
地块Block_9,1221.3796554470132,90347.09440108087,0,2,[]
地块Block_10,1411.9258534448304,109092.56618754972,6,11,[]
地块Block_11,2026.9347148164775,258836.44705892613,2,5,[]
地块Block_12,1026.720541420948,6867.58534444042,0,0,[]
地块Block_13,895.4860450086918,16011.490531763027,0,0,[]
地块Block_14,1133.9079584543176,72653.1244455296,0,0,[]
地块Block_15,963.9081389206646,5207.2135573256,0,0,[]
地块Block_16,2108.3810217247733,9816.103019388995,0,0,[]
地块Block_17,1788.9986176253665,201050.26609338395,3,3,[]
地块Block_18,2236.613467318,304882.50722708425,3,6,[]
地块Block_19,1185.6825052258093,11919.769542379676,0,1,[]
地块Block_20,2821.1363839951123,462224.79556270695,0,4,[]
地块Block_21,2065.5388937359007,265008.9621899884,0,0,[]
地块Block_22,973.7567082255981,6506.021908560427,0,0,[]
地块Block_23,986.2598758254234,4688.324932451607,0,0,[]
地块Block_24,2044.960303462849,258685.22381237056,0,0,[]
地块Block_25,929.8033245952971,6579.257912886323,0,0,[]
地块Block_26,775.5061881992502,4435.280143963397,0,0,[]
地块Block_27,1012.5380682531636,62346.884950255364,1,2,[]
地块Block_28,1031.1786162982714,65349.29227217204,2,5,[]
地块Block_29,2699.0955248333034,330825.20422001753,0,0,[]
地块Block_30,168.59768387567559,1781.116456175019,0,0,[]
地块Block_31,1737.508688761461,182919.26719359023,1,1,[]
地块Block_32,2048.8803793285974,260862.74983921368,1,3,[]
地块Block_33,809.7301840061793,41910.555387713204,0,0,[]
地块Block_34,913.361174473401,49408.66312706594,1,1,[]
地块Block_35,2882.5176747057167,14422.41463067042,0,0,[]
地块Block_36,1229.406107381757,91285.57332388742,0,0,[]
地块Block_37,1672.4440691030848,170547.64925757394,0,0,[]
地块Block_38,867.375842235928,33758.802529631925,0,0,[]
地块Block_39,1444.374473363464,86264.09837411928,0,0,[]
地块Block_40,1356.9345166549317,100028.10718135283,0,0,[]
地块Block_41,1232.5982966464328,78594.85537155547,5,10,[]
地块Block_42,714.2590076442584,17657.89743071511,1,1,[]
地块Block_43,506.4225199629373,13549.980919596008,0,1,[]
地块Block_44,283.7266665111338,1303.206688518393,0,0,[]
地块Block_45,511.1370354917701,2299.1540632021943,0,0,[]
地块Block_46,861.8970904017882,3409.361306275986,0,0,[]
地块Block_47,5454.697038428013,6819.948487554413,0,0,[]
地块Block_48,452.6119328145377,10429.952689086807,0,2,[]
地块Block_49,386.3938759359328,7377.007666863689,0,2,[]
地块Block_50,261.23606839766734,4054.1240002436243,0,1,[]
地块Block_51,1296.7484595510005,49529.53474732766,0,14,[]
地块Block_52,615.1333875564873,24518.37401680732,0,5,[]
地块Block_53,114.70426734721256,741.057035571133,0,0,[]
