地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,3157.782578479365,3823.2496481540043,0,0,[]
地块Block_1,114038.70429989556,145657.7036170886,7,7,[]
地块Block_2,1130.375272040526,11422.609856599409,0,0,[]
地块Block_3,136.11695887110034,874.8216921016914,0,0,[]
地块Block_4,2844.819419491691,39753.26473187306,0,0,[]
地块Block_5,875.9236138018291,4471.239832810574,0,0,[]
地块Block_6,1666.8193510704243,135255.51096627166,0,15,[]
地块Block_7,1001.2506105940929,62553.14857902601,1,3,[]
地块Block_8,6567.565670111065,830741.4281453309,3,78,[]
地块Block_9,2230.3259348680276,28117.27069543085,0,0,[]
地块Block_10,1634.8680327076734,16965.529337486012,0,0,[]
地块Block_11,2055.287783016456,25768.293014448893,0,0,[]
地块Block_12,757.8027457037178,32765.10276157924,0,0,[]
地块Block_13,398.83991591073243,1190.563917061391,0,0,[]
地块Block_14,1762.4342748184595,18946.562605811356,0,0,[]
地块Block_15,520.0789866319126,1453.9230228684785,0,0,[]
地块Block_16,1701.5939367173016,14765.360741707702,0,0,[]
地块Block_17,1234.1736772034346,12346.416184596035,0,0,[]
地块Block_18,692.4050259446423,1964.0640286411367,0,0,[]
地块Block_19,874.0533431016024,46282.60638584768,0,0,[]
地块Block_20,1958.1889386686898,101130.68492808871,0,0,[]
地块Block_21,701.0741369533431,10134.279696378257,0,0,[]
地块Block_22,517.8398977507131,4112.273244596458,0,0,[]
地块Block_23,145.38739573209483,1190.1168167342503,0,0,[]
地块Block_24,631.1542623127916,3523.159860068871,0,0,[]
地块Block_25,330.76280228557357,3808.331818211667,0,0,[]
地块Block_26,305.1336800217274,1555.5517525688495,0,0,[]
地块Block_27,270.9252893086682,778.9078630864045,0,0,[]
地块Block_28,1214.5881972741442,91240.16389666313,0,15,[]
地块Block_29,688.6635373833151,1905.558465123674,0,0,[]
地块Block_30,840.4843213059753,7530.468955190666,0,0,[]
地块Block_31,1500.3436754817503,139862.74258741998,1,7,[]
地块Block_32,1508.6794569998037,142100.0743973793,0,15,[]
地块Block_33,805.4285440827591,7603.413797293745,0,0,[]
地块Block_34,1023.7639440636024,6939.037392746977,0,0,[]
地块Block_35,1555.61926651183,5772.358717863316,1,1,[]
地块Block_36,1309.6327820872339,106420.50628950776,2,8,[]
地块Block_37,1429.1038066326762,126332.50410982432,0,11,[]
地块Block_38,689.4069921761361,7276.576871703276,0,0,[]
地块Block_39,740.6395091439441,9381.88537291768,0,0,[]
地块Block_40,633.4526449279826,3488.8469966201064,0,0,[]
地块Block_41,724.4577697572922,1893.8908189699969,0,0,[]
地块Block_42,773.3613666973413,1929.6792658505458,0,0,[]
地块Block_43,672.9930353533183,3505.6682325525735,1,1,[]
地块Block_44,610.1956295830904,4588.43117879671,0,0,[]
地块Block_45,454.94208851341705,3581.3762976091107,0,0,[]
地块Block_46,135.4636629406656,679.9785270357253,0,0,[]
地块Block_47,169.97157915839554,846.3613956106035,0,0,[]
地块Block_48,166.7837296610995,899.8522456059061,0,0,[]
地块Block_49,842.555027034767,2304.631055077322,0,0,[]
地块Block_50,851.5659379233873,4955.233795724111,0,0,[]
地块Block_51,838.2905235151088,2184.243617736932,0,0,[]
地块Block_52,1504.8461533297007,139988.05324096407,0,24,[]
地块Block_53,2488.4700727422296,328933.12534799136,0,34,[]
地块Block_54,1858.801171110636,9825.97356793772,0,0,[]
地块Block_55,1896.253890007941,150370.57962906477,1,18,[]
地块Block_56,867.0745380742436,8059.901512189638,0,0,[]
地块Block_57,710.9040584362801,3372.4813046245745,0,0,[]
地块Block_58,718.504992459383,3398.2714308375275,0,0,[]
地块Block_59,1523.9767324764293,144505.52798096894,8,14,[]
地块Block_60,657.7371096359861,1912.8265081365812,0,0,[]
地块Block_61,1524.0365340960986,143821.4701540178,0,21,[]
地块Block_62,741.5329800637666,4096.6769423772685,0,0,[]
地块Block_63,749.8149966756204,6246.165005276507,0,0,[]
地块Block_64,3511.181434420589,18819.612089657887,0,0,[]
地块Block_65,395.68286217902215,3308.3757180898515,0,0,[]
地块Block_66,1161.7901144570258,71597.67540117318,0,0,[]
地块Block_67,1888.2816550636899,227103.9967502801,1,33,[]
地块Block_68,1013.5230547028347,8580.872154974553,0,0,[]
地块Block_69,1050.081346336261,8165.935724706909,0,0,[]
地块Block_70,956.8007580303304,56654.781910041245,0,0,[]
地块Block_71,761.2269218082974,33530.079327593994,0,0,[]
地块Block_72,739.6962460808496,5252.580703726552,0,0,[]
地块Block_73,852.8169532808367,5212.760535373347,0,0,[]
地块Block_74,482.94775123132354,3743.823134139555,0,0,[]
地块Block_75,335.4898720223026,2078.849361708635,0,0,[]
地块Block_76,1875.2246187529336,2369.4126291988105,0,0,[]
