地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,93315.93723025522,120081.53883536541,7,7,[]
地块Block_1,1018.3812988319386,9416.676022630478,0,0,[]
地块Block_2,1717.6328294135267,149607.79268613193,0,17,[]
地块Block_3,2092.4784219195813,194644.9840017937,0,17,[]
地块Block_4,3642.430075647381,631561.325102883,7,21,[]
地块Block_5,2204.4839155893123,267971.85101149743,2,2,[]
地块Block_6,2131.779511278907,283734.25459592836,2,3,[]
地块Block_7,1043.2181859384455,10974.826282148502,0,0,[]
地块Block_8,1083.9522873376902,73506.16195763576,0,13,[]
地块Block_9,1427.8300363003468,115526.8858685826,0,44,[]
地块Block_10,457.292653928168,9816.792024858012,0,5,[]
地块Block_11,1251.207665695936,92590.87768589154,2,48,[]
地块Block_12,1021.7806919264555,65707.47365762139,1,23,[]
地块Block_13,1848.4586182806431,178235.18183649442,0,0,[]
地块Block_14,2252.2342985787445,316002.2782734395,3,5,[]
地块Block_15,1057.3717567465792,10623.8342180291,0,1,[]
地块Block_16,1075.2276432292972,71109.05424514975,0,13,[]
地块Block_17,994.5835496572113,55036.747120688044,0,25,[]
地块Block_18,1488.2357013453993,125482.0365762112,0,14,[]
地块Block_19,1907.5316305862657,145998.75788426786,0,60,[]
地块Block_20,932.9276256239259,52371.26170046294,0,20,[]
地块Block_21,817.3102470088533,7853.334887801668,0,1,[]
地块Block_22,1013.8967987172446,63518.353709274255,0,2,[]
地块Block_23,885.9628155475091,42840.773939587125,0,16,[]
地块Block_24,1470.4031608704333,125022.94620007418,1,38,[]
地块Block_25,1786.0402353446032,184724.566799318,6,8,[]
地块Block_26,173.33168374524655,1848.0432352178577,1,2,[]
地块Block_27,182.58116799667772,1919.5365964660714,0,1,[]
地块Block_28,174.8740416086569,1829.6269656419656,0,1,[]
地块Block_29,918.9790799879473,51141.91824677944,0,22,[]
地块Block_30,1548.8455566540833,114218.93717647884,1,31,[]
地块Block_31,1045.072336430157,65323.231311216994,1,29,[]
地块Block_32,735.6374030408185,34590.70051491952,0,19,[]
地块Block_33,4250.600386489951,1108457.74126932,19,40,[]
地块Block_34,1309.4133383626206,12397.823074828731,0,0,[]
地块Block_35,961.1863693656547,57661.85283795417,0,20,[]
地块Block_36,378.3826731725401,3270.384429811707,0,0,[]
地块Block_37,1266.9079795543298,102518.15412231509,0,30,[]
地块Block_38,697.3091154852145,28982.74602473672,0,9,[]
地块Block_39,1149.210717507395,76655.43465673312,2,15,[]
地块Block_40,954.9462249757995,55967.0373652138,0,16,[]
地块Block_41,320.51983431486553,5868.605239505512,0,0,[]
地块Block_42,677.346866748648,19187.564101854707,0,0,[]
地块Block_43,1517.9722073844955,17300.219899424046,0,0,[]
地块Block_44,2317.6763735715344,289393.6676796852,1,28,[]
地块Block_45,1052.8852280179492,9997.897806711871,0,0,[]
地块Block_46,985.1634426104206,8284.403731812963,0,0,[]
地块Block_47,1173.5681181378372,80889.62575192755,3,6,[]
地块Block_48,870.3508548917555,9647.806804975713,0,0,[]
地块Block_49,1327.0039682293732,107819.91346501363,1,10,[]
地块Block_50,1553.7562336320502,149632.91535261512,2,2,[]
地块Block_51,137.25340981566396,871.5154452907962,1,1,[]
地块Block_52,987.7967961362958,51668.76085713092,0,0,[]
地块Block_53,1141.9484487944146,74532.36663521468,0,0,[]
地块Block_54,974.1723962328872,51453.10703343514,5,8,[]
地块Block_55,606.1914347643492,22775.81606245572,0,2,[]
地块Block_56,583.4047645470689,16332.5912230114,1,1,[]
