地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,69258.08767906416,87474.56309410512,2,2,[]
地块Block_1,1813.026044770041,196542.90603316115,0,3,[]
地块Block_2,2059.9078167094103,209637.10157616768,5,6,[]
地块Block_3,2550.7100279312235,16593.037583477562,0,0,[]
地块Block_4,2610.2032598915766,39932.5885060297,0,1,[]
地块Block_5,2565.3104771140524,17718.361497894053,0,0,[]
地块Block_6,346.09573193122947,2504.643489692936,0,0,[]
地块Block_7,3607.0141925984112,409217.79380328936,2,5,[]
地块Block_8,998.5469580867403,4971.616637011826,0,0,[]
地块Block_9,1197.0280932393007,85299.9480739161,0,0,[]
地块Block_10,772.3527516330482,24820.39457356233,0,3,[]
地块Block_11,813.7844130430033,3835.0767633133014,0,0,[]
地块Block_12,2174.8575959317986,256974.8973679507,2,3,[]
地块Block_13,5636.577362554804,73572.27633833906,0,0,[]
地块Block_14,1604.8046466494184,148373.4203524291,0,5,[]
地块Block_15,307.26599193923795,4633.0035328874255,0,1,[]
地块Block_16,1092.5450971098874,68553.87027118301,0,0,[]
地块Block_17,2994.592148718604,303602.5423211507,8,10,[]
地块Block_18,1117.8213023906628,67745.33727901832,0,1,[]
地块Block_19,2643.649934075903,336985.8299718717,10,13,[]
地块Block_20,1627.1489992567372,167500.07756137775,0,0,[]
地块Block_21,1633.8688425010473,140914.4287387811,0,3,[]
