地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,46083.27731839772,105027.29906986607,4,4,[]
地块Block_1,2958.1976109322845,38742.3406237875,0,0,[]
地块Block_2,6135.610080015661,465376.04766291025,0,3,[]
地块Block_3,1439.3419612982032,75684.69424015125,0,0,[]
地块Block_4,1319.4412089790128,99600.50924059046,0,28,[]
地块Block_5,2119.715007546116,304893.14765312005,2,2,[]
地块Block_6,655.3460817822562,25006.434684385462,1,1,[]
地块Block_7,3314.1806662906824,490134.17376519216,9,13,[]
地块Block_8,1396.53970549012,7005.5646941702,0,0,[]
地块Block_9,298.56689689007555,4830.018650095144,1,1,[]
地块Block_10,1227.31169210493,7115.855019077357,0,0,[]
地块Block_11,680.8173644195798,3395.512177445113,0,0,[]
地块Block_12,170.43024676692846,1590.7240872270045,1,1,[]
地块Block_13,851.1556332872641,2414.4164501132104,0,0,[]
地块Block_14,306.56871116637217,5211.0379215082485,0,0,[]
地块Block_15,2714.4744393144906,172108.193775273,3,26,[]
地块Block_16,1628.4557710032682,99866.3804625657,0,28,[]
地块Block_17,1363.146188919842,7885.238596797113,0,0,[]
地块Block_18,223.9839258411177,2611.8035728593513,0,0,[]
地块Block_19,203.48920800696104,2286.8914687951224,0,0,[]
地块Block_20,210.52585402074303,2638.192831524389,0,0,[]
地块Block_21,199.8236967450129,2389.302568348837,0,0,[]
地块Block_22,239.86476756041856,3384.057831668427,0,0,[]
地块Block_23,420.65934511039546,10899.69703993815,0,0,[]
地块Block_24,764.8290910664566,22506.901301344806,0,0,[]
地块Block_25,308.90029653119564,3110.0357276748027,0,0,[]
地块Block_26,601.8643138876716,22602.86826321652,0,1,[]
地块Block_27,537.5045602554345,17854.61392603149,0,0,[]
