地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,110076.8319601422,139190.25134546054,3,3,[]
地块Block_1,2275.6271410986697,309108.2555822907,0,20,[]
地块Block_2,1355.7971215863,111902.93457378434,0,10,[]
地块Block_3,4704.87797153256,769109.1666119065,2,14,[]
地块Block_4,2629.7212318924935,241501.7645857655,1,29,[]
地块Block_5,4112.292680436549,121700.1297764299,0,11,[]
地块Block_6,100.7340713741141,767.241632636572,0,0,[]
地块Block_7,2675.4057067627145,273831.48619601346,3,24,[]
地块Block_8,1814.3446512181279,175790.64243563754,0,21,[]
地块Block_9,3269.468406347533,433711.5543290323,0,110,[]
地块Block_10,440.65084236805444,7056.685350699111,0,0,[]
地块Block_11,413.3126388791695,5839.721881850684,0,0,[]
地块Block_12,1054.9485854664279,66280.25831285866,0,13,[]
地块Block_13,1869.198154324987,33623.29737374232,0,15,[]
地块Block_14,233.1928109840012,2095.344289617334,0,0,[]
地块Block_15,264.7405285228126,3231.8543925168988,0,0,[]
地块Block_16,319.9339454577931,6467.588335789033,0,0,[]
地块Block_17,1207.2204105541136,86338.10151617925,0,10,[]
地块Block_18,2055.5068824015225,254051.8903330943,0,0,[]
地块Block_19,1333.0590930846301,102921.13164466068,0,0,[]
地块Block_20,1083.3406789420565,72738.21795298049,0,0,[]
地块Block_21,2217.982001651783,143355.8314482004,0,0,[]
地块Block_22,779.1757584383648,6785.01621175062,0,0,[]
地块Block_23,2466.636091182835,313228.13019791764,4,5,[]
地块Block_24,1390.6408964638788,117176.85123515192,0,0,[]
地块Block_25,2039.8861969251147,248235.98505479,1,18,[]
地块Block_26,683.7863779392898,3812.641823002903,0,0,[]
地块Block_27,1547.5754794713293,137157.76014872905,0,0,[]
地块Block_28,2303.508216089789,15774.78927616863,0,0,[]
地块Block_29,1257.7336671357873,87517.5289118126,0,0,[]
地块Block_30,1773.2499595205493,168330.83216316294,2,15,[]
地块Block_31,1814.96048729598,18210.446683087328,0,1,[]
地块Block_32,2845.87917476664,358901.8478522145,0,2,[]
地块Block_33,1175.5541298029254,86984.05460765082,0,8,[]
地块Block_34,1456.9654264869912,71122.45045835825,0,0,[]
地块Block_35,2236.551276106745,21068.879823526615,0,1,[]
地块Block_36,149.86631878601514,1185.6413270204425,0,0,[]
地块Block_37,1647.263085330465,154401.48624924515,0,14,[]
地块Block_38,1075.4693542701702,71726.73567588374,0,10,[]
地块Block_39,153.50742438805446,963.570233194808,0,0,[]
地块Block_40,1652.5945282445753,169637.98851523775,0,6,[]
地块Block_41,1256.3376813503319,93495.91064195508,0,0,[]
地块Block_42,1306.279483727591,100789.47449243887,0,0,[]
地块Block_43,1183.2677226205471,73067.62575300672,0,0,[]
地块Block_44,882.8069294606396,8139.985068812399,0,0,[]
地块Block_45,1174.8760842111528,69851.82032891405,0,0,[]
地块Block_46,2223.5319078818175,287706.6638218096,0,0,[]
地块Block_47,1487.7492770033919,137088.92680902945,0,0,[]
地块Block_48,1501.5159018296372,134938.88713755208,0,2,[]
地块Block_49,631.03565085336,3666.519798265139,0,0,[]
地块Block_50,1182.6474902207547,72404.73427873237,0,0,[]
地块Block_51,1572.4406281252604,153707.79000629825,0,0,[]
地块Block_52,1170.2628735281191,69932.77020763165,0,0,[]
地块Block_53,866.0864844190851,6912.07825563517,0,0,[]
地块Block_54,1343.2392665740583,105510.86504552388,0,0,[]
地块Block_55,883.1505352029066,5186.747789874942,0,0,[]
地块Block_56,1608.0270516536407,170555.74534527372,0,0,[]
地块Block_57,1717.5402505415057,10161.210767190223,0,0,[]
地块Block_58,867.7856113493779,6499.036903655308,0,0,[]
地块Block_59,511.43202686223407,3209.7114709986618,0,0,[]
地块Block_60,1119.937202497256,66302.40557679445,0,0,[]
