地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,1707.25184381395,2144.651473877317,0,0,[]
地块Block_1,103.84466549823048,851.6280985405423,0,0,[]
地块Block_2,46412.059909694224,60030.59807730383,2,3,[]
地块Block_3,1941.0690325562978,15018.322816077207,0,0,[]
地块Block_4,1674.3115936028441,62049.53326623974,0,0,[]
地块Block_5,747.4830692032762,5236.624744228851,0,0,[]
地块Block_6,689.6075020075746,4831.5665285661025,0,0,[]
地块Block_7,487.07670850762366,3023.244479426211,0,0,[]
地块Block_8,183.01321005788412,2594.112432009754,0,0,[]
地块Block_9,964.8396949032585,6916.096481359715,0,0,[]
地块Block_10,887.0527069100383,7769.672842279348,0,0,[]
地块Block_11,528.8382807220295,16999.859036249294,0,0,[]
地块Block_12,508.2514715956768,15354.03123812833,0,0,[]
地块Block_13,1319.410211718328,70833.33246494862,0,0,[]
地块Block_14,1430.739645435952,75329.69602064502,0,0,[]
地块Block_15,1286.8279816697298,8683.81992098151,0,0,[]
地块Block_16,226.8093687391093,2663.55365067158,0,0,[]
地块Block_17,646.1373457598353,22371.101124876295,0,0,[]
地块Block_18,610.9121502233936,19589.78472632916,1,1,[]
地块Block_19,3028.3906103786176,4055.147496160677,1,1,[]
