地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,105905.5569953912,135789.24077479437,5,6,[]
地块Block_1,600.7680586047667,20741.311418850306,0,0,[]
地块Block_2,606.3597768636756,22498.31269196353,0,0,[]
地块Block_3,592.9110240043216,21736.434456294333,1,1,[]
地块Block_4,2660.630871776997,237202.8510148155,3,4,[]
地块Block_5,1854.2815202760673,159441.96138664882,7,9,[]
地块Block_6,1087.929655581298,70247.53809250443,4,4,[]
地块Block_7,1945.1859799649992,206589.23409617983,7,8,[]
地块Block_8,5755.234855455866,827024.862031177,8,11,[]
地块Block_9,2190.292996205707,15534.578883904405,0,0,[]
地块Block_10,3096.3655647514224,233342.99588348088,9,11,[]
地块Block_11,1519.6935348666682,146938.71303391465,4,4,[]
地块Block_12,1458.9899772766105,131448.3183465926,2,5,[]
地块Block_13,667.8603963750174,4007.9621021374214,0,0,[]
地块Block_14,708.1928038625151,2674.3264265695834,0,0,[]
地块Block_15,1044.6339332398309,7055.704695787275,0,0,[]
地块Block_16,2554.2294713492365,330080.8631291917,7,8,[]
地块Block_17,1617.4456117164934,15656.274836003056,0,0,[]
地块Block_18,1453.088721276382,131462.4768500799,6,10,[]
地块Block_19,839.8067603712598,3473.3874421348855,0,0,[]
地块Block_20,1260.9721215253946,89964.02817963247,3,5,[]
地块Block_21,551.9228282080865,1888.7712545095856,0,0,[]
地块Block_22,1790.4593119240317,197201.32272894116,9,11,[]
地块Block_23,1057.5021303732128,3821.6428074036558,0,0,[]
地块Block_24,2194.493212222334,299520.2303636412,1,1,[]
地块Block_25,2835.425652996056,510217.73963966215,5,5,[]
地块Block_26,3525.914054922803,366672.11905129923,3,3,[]
地块Block_27,1073.3649595808808,8607.66705642008,0,0,[]
地块Block_28,1147.174760085455,8750.832985677653,0,0,[]
地块Block_29,1214.2369119081097,3385.5779590588345,0,0,[]
地块Block_30,1351.7041997581969,109090.63667063254,4,18,[]
地块Block_31,1765.3709191003613,193502.35021860714,1,1,[]
地块Block_32,807.4618869411212,3217.6352929698132,0,0,[]
地块Block_33,310.54017503580326,1192.8828257206483,0,0,[]
地块Block_34,769.5633942625494,6227.321269351453,0,0,[]
地块Block_35,1140.8713759235363,75435.54677117558,0,0,[]
地块Block_36,342.9196749546388,8433.480686630051,0,0,[]
地块Block_37,238.69740220934722,1447.0842664296276,0,0,[]
地块Block_38,755.6900583863624,35443.72366410658,0,0,[]
地块Block_39,454.2776110501642,1954.9153068652704,0,0,[]
地块Block_40,987.8321639758276,53957.106684987026,3,3,[]
地块Block_41,1150.9283042109162,77986.21407940901,0,0,[]
地块Block_42,956.4593914965221,48013.16683397233,2,2,[]
地块Block_43,1841.1572483474883,198974.9490747902,5,5,[]
地块Block_44,1048.2719704661592,5015.8770168459705,0,0,[]
地块Block_45,1960.1634452438464,231156.38294702547,6,6,[]
地块Block_46,1775.6113997824946,193451.48006801403,5,5,[]
地块Block_47,1058.837916072231,4780.090672368315,0,0,[]
地块Block_48,1498.4319857581556,40049.61604187581,2,2,[]
地块Block_49,1258.2528323606439,4755.495554138211,0,0,[]
地块Block_50,382.5232568833309,1364.1392473223912,0,0,[]
地块Block_51,624.3039980085284,24798.07867470315,3,3,[]
地块Block_52,1314.5456820147404,95591.14360656762,3,6,[]
地块Block_53,948.5713803008667,55369.207229289364,3,3,[]
地块Block_54,786.9707886774489,38606.58541087105,0,0,[]
地块Block_55,927.8272082826211,52140.45224322867,0,0,[]
地块Block_56,1229.4720061255487,72674.77813042629,1,2,[]
地块Block_57,1091.3727890343043,3606.382246425188,0,0,[]
地块Block_58,1723.7491407283037,2255.0127765325146,0,0,[]
