地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,157149.3757192272,199978.48905704753,3,4,[]
地块Block_1,1594.2531016848743,157046.38171170992,0,1,[]
地块Block_2,1030.6470352569984,13703.427280357551,0,0,[]
地块Block_3,575.5414296428595,3357.1703518548775,0,0,[]
地块Block_4,1453.4256956144527,10950.44364695706,0,0,[]
地块Block_5,993.027221404194,5352.803763460393,0,0,[]
地块Block_6,6138.31254638041,65721.20774367508,0,1,[]
地块Block_7,2709.0314952302565,21201.084510038614,0,1,[]
地块Block_8,4684.396866743746,566347.604733616,7,77,[]
地块Block_9,1378.7849802905178,88874.375157967,0,15,[]
地块Block_10,561.4128579158478,3840.0158423220437,0,0,[]
地块Block_11,1091.388347863039,7931.94295227658,0,0,[]
地块Block_12,1063.3156564361857,2250.4777450247666,0,0,[]
地块Block_13,551.7137486302232,1029.19344231862,0,0,[]
地块Block_14,554.249286444267,1703.1781351564678,0,0,[]
地块Block_15,308.1320989131238,2065.07978667603,0,0,[]
地块Block_16,297.7917802910683,1269.8201716547146,0,0,[]
地块Block_17,1485.4297997452297,124997.72419384081,0,0,[]
地块Block_18,600.7361185090137,2411.572628904558,0,0,[]
地块Block_19,1263.9411744073936,96719.63510327894,0,8,[]
地块Block_20,404.95865232929253,4751.44368135739,0,0,[]
地块Block_21,2263.1191923894326,200926.31433169532,0,16,[]
地块Block_22,1491.8396443957463,125874.67753120036,0,1,[]
地块Block_23,1026.3574937209082,16335.350080949114,0,0,[]
地块Block_24,1727.2100921367835,173402.91120243253,27,28,[]
地块Block_25,1147.6798611028119,68775.27882666516,2,7,[]
地块Block_26,476.64824571285493,2500.3628726595157,0,0,[]
地块Block_27,891.0957119540393,49178.95624984213,0,14,[]
地块Block_28,944.2787166195278,2246.0534987989577,0,0,[]
地块Block_29,1215.9834682700975,7001.485992941356,0,0,[]
地块Block_30,1215.2000349168034,5068.984784376788,0,0,[]
地块Block_31,1913.7220806445034,211381.72644176823,1,36,[]
地块Block_32,1101.0577400556008,5739.482176813874,0,0,[]
地块Block_33,3441.856312175138,18913.19557795525,0,0,[]
地块Block_34,2358.6982433651983,345277.89313923183,2,4,[]
地块Block_35,1300.4720076105225,105691.1850040925,0,9,[]
地块Block_36,1464.4987297046584,133796.85654879824,0,0,[]
地块Block_37,761.2269218082974,33530.07932759399,0,0,[]
地块Block_38,2919.5158798145867,271453.03411078337,1,19,[]
地块Block_39,335.4898720223014,2078.8493396014446,0,0,[]
地块Block_40,395.6828621790221,3308.375718089851,0,0,[]
