地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,114568.79838167869,148051.91249148492,12,12,[]
地块Block_1,8832.720850158918,1286761.5694964414,1,16,[]
地块Block_2,1231.1793050771591,12684.49981924019,0,0,[]
地块Block_3,1325.7349834927486,9916.29299359606,0,0,[]
地块Block_4,1828.2241135274037,131162.65886336553,1,3,[]
地块Block_5,1110.3798153992946,4415.968229554471,0,0,[]
地块Block_6,1179.9027593615217,6223.704583327313,0,0,[]
地块Block_7,1155.9154581602809,6913.840872487239,0,0,[]
地块Block_8,1325.094383814581,103802.09073486734,0,21,[]
地块Block_9,3067.4101702942694,399761.18336007756,0,30,[]
地块Block_10,1478.7335703779856,71078.48880464284,0,4,[]
地块Block_11,907.6078035400656,2544.134756342326,0,0,[]
地块Block_12,919.2839590567759,4582.267563977293,0,0,[]
地块Block_13,2420.8587151008364,297540.3880869327,0,1,[]
地块Block_14,1230.2719396730868,8999.603513202257,0,0,[]
地块Block_15,1829.4126953836399,4881.19213303506,0,0,[]
地块Block_16,1841.0783476404627,11679.236144065704,0,0,[]
地块Block_17,1842.332908909887,5304.322064308741,0,0,[]
地块Block_18,807.4487132635213,6845.1939876784145,0,0,[]
地块Block_19,1215.1911321011214,10520.590620541408,0,0,[]
地块Block_20,1008.2263924806947,2611.302249355872,0,0,[]
地块Block_21,1626.8019480371752,159177.6361228411,3,7,[]
地块Block_22,334.45547850900095,7306.847277033035,1,1,[]
地块Block_23,932.6953704371429,5432.61641848972,0,0,[]
地块Block_24,1099.8638809261822,67925.8368290888,0,0,[]
地块Block_25,713.4070365551961,27896.514231622336,0,0,[]
地块Block_26,689.0667788032465,30002.916932383458,0,0,[]
地块Block_27,2622.5031109146926,153742.48540800184,0,25,[]
地块Block_28,808.3457226939279,33608.07902858005,1,3,[]
地块Block_29,889.4141675571295,49265.74213259922,0,10,[]
地块Block_30,709.8606816020589,27892.284556647704,0,6,[]
地块Block_31,752.4388068528108,35491.54428596191,1,5,[]
地块Block_32,697.3232460849953,28550.656067006,0,11,[]
地块Block_33,607.5187181379109,21818.81442336785,0,4,[]
地块Block_34,745.6494784421004,4036.3312655689597,0,0,[]
地块Block_35,4246.932478949442,30870.512132433912,0,0,[]
地块Block_36,1628.5938703026923,86841.40776476376,1,7,[]
地块Block_37,245.7410979261375,2299.9243499410263,0,0,[]
地块Block_38,2579.493030905189,164363.29869568985,5,30,[]
地块Block_39,1319.7703799920714,5813.6893616444995,0,0,[]
地块Block_40,3417.6089039417584,480650.51538683224,2,5,[]
地块Block_41,2218.688579403167,195643.83350382585,0,24,[]
地块Block_42,765.0306184274963,36295.53844386937,0,6,[]
地块Block_43,612.9081141641053,20080.262168320707,0,0,[]
地块Block_44,538.8698271154794,4793.026339901651,0,0,[]
地块Block_45,232.70992950840568,1601.356106666265,0,0,[]
地块Block_46,276.7050120733173,2235.7315453671017,0,0,[]
地块Block_47,1308.9621469841566,1513.326380788314,0,0,[]
地块Block_48,1308.7975174510098,3449.216848865034,0,0,[]
地块Block_49,515.9033994134847,906.1604123490029,0,0,[]
地块Block_50,782.1474547945601,3783.621522754472,0,0,[]
地块Block_51,175.20895935748374,1225.6870454960754,0,0,[]
地块Block_52,171.62684943812786,1460.7779779196046,0,0,[]
地块Block_53,1237.1525168901267,88807.99550005427,0,13,[]
地块Block_54,1614.9289740615382,160287.7068430724,0,23,[]
地块Block_55,906.06907231679,2113.4204528040204,0,0,[]
地块Block_56,1785.0798633641032,186165.24776609137,2,19,[]
地块Block_57,1054.5469244607964,19636.333986360503,0,0,[]
地块Block_58,198.49213345222788,1359.3710014890983,0,0,[]
