地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,63154.7039717155,79126.64328021472,6,8,[]
地块Block_1,570.7342322809286,16842.945685884028,0,0,[]
地块Block_2,2742.0029983308464,476683.8764671363,45,108,[]
地块Block_3,3366.406276349355,363670.2060314762,8,31,[]
地块Block_4,1872.73460426764,207002.2505595105,12,34,[]
地块Block_5,532.1256451708296,21986.687953319153,2,3,[]
地块Block_6,379.1691087219696,6620.528266357568,0,1,[]
地块Block_7,1127.064133803813,2091.379842420147,0,0,[]
地块Block_8,371.8259066316184,6002.040672585041,0,0,[]
地块Block_9,1159.1922350716102,7427.787595155875,2,2,[]
地块Block_10,1127.0965039863534,3012.142211933632,1,1,[]
地块Block_11,191.7743694896097,1368.852869010865,0,0,[]
地块Block_12,2303.707921684561,187125.8140061152,1,3,[]
地块Block_13,965.9641047947607,56300.72713546652,1,7,[]
地块Block_14,1994.2919256536038,243819.00521111942,5,25,[]
地块Block_15,219.23035886659426,2001.5116074910893,0,0,[]
地块Block_16,1695.710716757022,67488.39762893849,9,29,[]
地块Block_17,255.78643571425744,1399.2504840818433,0,0,[]
地块Block_18,256.8200099576633,690.1923355725005,0,0,[]
地块Block_19,266.84454989031826,1325.538425273292,0,0,[]
地块Block_20,2955.94144819744,252868.44011989128,6,44,[]
地块Block_21,2928.705851750159,421673.95186431037,10,51,[]
地块Block_22,995.33990725735,50511.63585410005,4,15,[]
地块Block_23,1244.840270034762,92625.74906174045,3,8,[]
地块Block_24,668.7220833670895,25218.311175791066,3,6,[]
地块Block_25,1436.7570824174265,117910.64295674095,15,37,[]
地块Block_26,625.5299238678635,15516.450756453847,0,0,[]
地块Block_27,1101.7702927551434,45682.358981245874,3,13,[]
地块Block_28,783.5779820019295,38064.70289339784,1,6,[]
地块Block_29,825.2795738601826,5521.062094867468,1,1,[]
地块Block_30,782.7484542868619,912.0838263424686,0,0,[]
