地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,329.222207383646,7000.012491703276,1,1,[]
地块Block_1,114848.3340690735,144837.92188040892,6,6,[]
地块Block_2,2407.4587762229635,260757.5526285059,8,10,[]
地块Block_3,945.5410039765367,2415.114651041151,0,0,[]
地块Block_4,1772.2550370381362,146628.17078089432,10,11,[]
地块Block_5,3932.172535429441,545508.0552959197,14,24,[]
地块Block_6,1195.640925961213,57199.88032827067,2,2,[]
地块Block_7,1013.5803653771009,3553.03269712141,0,0,[]
地块Block_8,2378.27270024731,149381.3874624808,5,14,[]
地块Block_9,3510.3644518160622,441287.49354976835,26,94,[]
地块Block_10,532.1256451708296,21986.687953319153,2,3,[]
地块Block_11,1648.4343919461116,124202.02339273799,2,12,[]
地块Block_12,1199.871461368263,52517.19627563611,2,11,[]
地块Block_13,2111.3501541480455,272256.1858951993,35,104,[]
地块Block_14,809.5896264491232,3104.9711223363943,0,0,[]
地块Block_15,1853.822585794084,160189.6754233716,6,7,[]
地块Block_16,1483.6758658071044,6259.4524944925015,0,0,[]
地块Block_17,1929.7857880389954,194575.39243225812,6,9,[]
地块Block_18,913.9577451867026,42470.378680100504,0,1,[]
地块Block_19,655.8174917261614,22666.386605401967,0,0,[]
地块Block_20,1185.6794940178231,75964.80401710123,0,4,[]
地块Block_21,1172.8391793770436,87750.484620881,9,17,[]
地块Block_22,1022.0811319591634,65596.00836657529,2,30,[]
地块Block_23,1916.4153443273362,209835.72621572283,8,53,[]
地块Block_24,445.90118839749573,2499.833881449372,0,0,[]
地块Block_25,1224.076342223744,76244.86745410819,0,0,[]
地块Block_26,1385.0990511974856,102589.57668872675,1,1,[]
地块Block_27,457.22682317817817,9612.33772198858,0,0,[]
地块Block_28,2473.4562733464695,211243.3934687339,3,6,[]
地块Block_29,2055.838471980806,219557.3832427835,1,15,[]
地块Block_30,1154.760499447563,62814.29340790402,0,0,[]
地块Block_31,408.90296979517973,8974.5814110589,1,1,[]
地块Block_32,654.2267793752493,24980.9175755112,0,0,[]
地块Block_33,953.9603701194993,46560.85048218703,1,1,[]
地块Block_34,664.9017924041627,25057.55660247567,0,0,[]
地块Block_35,132.4849924813945,1385.8939664611614,0,0,[]
地块Block_36,182.2840467859326,2557.214442754237,0,1,[]
地块Block_37,823.6688819593231,34093.37730992186,2,3,[]
地块Block_38,453.61070948823397,2172.89060993702,0,0,[]
地块Block_39,681.7177689624814,26929.18036920241,2,2,[]
地块Block_40,374.6756015886018,1667.834152162782,0,0,[]
地块Block_41,1056.659758380593,51878.38064011454,0,2,[]
地块Block_42,948.7901694161044,48123.52140609085,0,4,[]
地块Block_43,761.3757823829712,34988.13466428949,0,0,[]
地块Block_44,850.2732910406007,44428.267365166656,0,0,[]
地块Block_45,540.3608712360723,12794.365572215002,0,1,[]
地块Block_46,663.8764373060906,25899.904887738034,0,0,[]
地块Block_47,781.7213721883778,32358.85704789419,1,4,[]
地块Block_48,432.43143400462657,11452.174403892672,4,5,[]
地块Block_49,242.78971761708925,1650.0870861813153,0,1,[]
地块Block_50,1253.9667085821957,7068.292484233563,0,0,[]
地块Block_51,2321.7142846083343,251704.34267583725,2,12,[]
地块Block_52,1994.291925655635,243819.00521190345,5,25,[]
地块Block_53,1872.7346042669353,207002.25067291287,12,34,[]
地块Block_54,1774.581339760251,188756.1368974816,16,35,[]
地块Block_55,965.964104806609,56300.72713543099,1,7,[]
地块Block_56,2383.212421502293,200797.58221479767,23,39,[]
地块Block_57,191.7743694896097,1368.852869010865,0,0,[]
地块Block_58,1140.6166618847762,6085.110063989724,0,1,[]
地块Block_59,841.1800778189652,2133.8607413035247,0,0,[]
地块Block_60,379.16910872196956,6620.528266357566,0,1,[]
地块Block_61,371.8259066316184,6002.04067258504,0,0,[]
地块Block_62,1127.0965039863531,3012.142211933635,1,1,[]
地块Block_63,1159.1922350716106,7427.787595155879,2,2,[]
地块Block_64,1020.271577673407,6030.426323261941,0,1,[]
地块Block_65,1252.1687753658102,8221.896918773282,0,1,[]
地块Block_66,397.6904581684779,9564.357881971073,1,3,[]
地块Block_67,329.61597602816096,6652.247314814381,0,1,[]
地块Block_68,283.80730968822525,4976.121028489377,2,4,[]
地块Block_69,1499.9158230043286,7733.638389922823,0,0,[]
地块Block_70,1127.0641338038129,2091.3798424201505,0,0,[]
地块Block_71,2742.002998330541,476683.8764671125,45,108,[]
地块Block_72,2303.70792167793,187125.81400625064,1,3,[]
地块Block_73,783.5779820019295,38064.70289339784,1,6,[]
地块Block_74,570.734232280929,16842.945685884028,0,0,[]
地块Block_75,255.78643571678347,1399.2504840639663,0,0,[]
地块Block_76,256.8200099576633,690.1923355725003,0,0,[]
地块Block_77,266.84454989031826,1325.538425273292,0,0,[]
地块Block_78,219.23035886659426,2001.5116074910898,0,0,[]
